# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.48.0/22,2.56.48.0,2.56.51.255,22,255.255.252.0,1024
2.56.148.0/22,2.56.148.0,2.56.151.255,22,255.255.252.0,1024
2.57.120.0/22,2.57.120.0,2.57.123.255,22,255.255.252.0,1024
2.58.44.0/22,2.58.44.0,2.58.47.255,22,255.255.252.0,1024
2.58.76.0/22,2.58.76.0,2.58.79.255,22,255.255.252.0,1024
2.59.12.0/23,2.59.12.0,2.59.13.255,23,255.255.254.0,512
2.59.15.0/24,2.59.15.0,2.59.15.255,24,255.255.255.0,256
5.2.128.0/17,5.2.128.0,5.2.255.255,17,255.255.128.0,32768
5.12.0.0/14,5.12.0.0,5.15.255.255,14,255.252.0.0,262144
5.35.208.0/21,5.35.208.0,5.35.215.255,21,255.255.248.0,2048
5.44.248.0/24,5.44.248.0,5.44.248.255,24,255.255.255.0,256
5.83.32.0/20,5.83.32.0,5.83.47.255,20,255.255.240.0,4096
5.104.158.0/23,5.104.158.0,5.104.159.255,23,255.255.254.0,512
5.154.171.0/24,5.154.171.0,5.154.171.255,24,255.255.255.0,256
5.154.224.0/24,5.154.224.0,5.154.224.255,24,255.255.255.0,256
5.154.236.0/24,5.154.236.0,5.154.236.255,24,255.255.255.0,256
5.154.239.0/24,5.154.239.0,5.154.239.255,24,255.255.255.0,256
5.154.252.0/22,5.154.252.0,5.154.255.255,22,255.255.252.0,1024
5.157.128.0/17,5.157.128.0,5.157.255.255,17,255.255.128.0,32768
5.181.200.0/22,5.181.200.0,5.181.203.255,22,255.255.252.0,1024
5.181.232.0/22,5.181.232.0,5.181.235.255,22,255.255.252.0,1024
5.183.168.0/22,5.183.168.0,5.183.171.255,22,255.255.252.0,1024
5.252.196.0/22,5.252.196.0,5.252.199.255,22,255.255.252.0,1024
5.253.52.0/22,5.253.52.0,5.253.55.255,22,255.255.252.0,1024
5.253.116.0/22,5.253.116.0,5.253.119.255,22,255.255.252.0,1024
5.253.188.0/22,5.253.188.0,5.253.191.255,22,255.255.252.0,1024
5.253.204.0/22,5.253.204.0,5.253.207.255,22,255.255.252.0,1024
31.5.0.0/16,31.5.0.0,31.5.255.255,16,255.255.0.0,65536
31.13.188.0/22,31.13.188.0,31.13.191.255,22,255.255.252.0,1024
31.14.8.0/24,31.14.8.0,31.14.8.255,24,255.255.255.0,256
31.14.12.0/22,31.14.12.0,31.14.15.255,22,255.255.252.0,1024
31.14.16.0/24,31.14.16.0,31.14.16.255,24,255.255.255.0,256
31.14.18.0/23,31.14.18.0,31.14.19.255,23,255.255.254.0,512
31.14.20.0/22,31.14.20.0,31.14.23.255,22,255.255.252.0,1024
31.14.34.0/23,31.14.34.0,31.14.35.255,23,255.255.254.0,512
31.14.40.0/22,31.14.40.0,31.14.43.255,22,255.255.252.0,1024
31.14.49.0/24,31.14.49.0,31.14.49.255,24,255.255.255.0,256
31.14.53.0/24,31.14.53.0,31.14.53.255,24,255.255.255.0,256
31.14.54.0/23,31.14.54.0,31.14.55.255,23,255.255.254.0,512
31.14.56.0/22,31.14.56.0,31.14.59.255,22,255.255.252.0,1024
31.14.100.0/23,31.14.100.0,31.14.101.255,23,255.255.254.0,512
