# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.74.160.0/20,41.74.160.0,41.74.175.255,20,255.255.240.0,4096
41.138.80.0/21,41.138.80.0,41.138.87.255,21,255.255.248.0,2048
41.186.0.0/16,41.186.0.0,41.186.255.255,16,255.255.0.0,65536
41.197.0.0/16,41.197.0.0,41.197.255.255,16,255.255.0.0,65536
41.222.244.0/22,41.222.244.0,41.222.247.255,22,255.255.252.0,1024
41.242.140.0/22,41.242.140.0,41.242.143.255,22,255.255.252.0,1024
102.22.128.0/18,102.22.128.0,102.22.191.255,18,255.255.192.0,16384
102.130.32.0/21,102.130.32.0,102.130.39.255,21,255.255.248.0,2048
102.209.168.0/22,102.209.168.0,102.209.171.255,22,255.255.252.0,1024
102.211.72.0/22,102.211.72.0,102.211.75.255,22,255.255.252.0,1024
102.213.212.0/23,102.213.212.0,102.213.213.255,23,255.255.254.0,512
102.214.220.0/23,102.214.220.0,102.214.221.255,23,255.255.254.0,512
102.215.8.0/22,102.215.8.0,102.215.11.255,22,255.255.252.0,1024
102.218.176.0/22,102.218.176.0,102.218.179.255,22,255.255.252.0,1024
102.219.173.0/24,102.219.173.0,102.219.173.255,24,255.255.255.0,256
105.178.0.0/17,105.178.0.0,105.178.127.255,17,255.255.128.0,32768
105.179.0.0/19,105.179.0.0,105.179.31.255,19,255.255.224.0,8192
154.68.64.0/18,154.68.64.0,154.68.127.255,18,255.255.192.0,16384
156.38.8.0/21,156.38.8.0,156.38.15.255,21,255.255.248.0,2048
196.44.240.0/20,196.44.240.0,196.44.255.255,20,255.255.240.0,4096
196.49.7.0/24,196.49.7.0,196.49.7.255,24,255.255.255.0,256
196.223.12.0/24,196.223.12.0,196.223.12.255,24,255.255.255.0,256
196.223.240.0/21,196.223.240.0,196.223.247.255,21,255.255.248.0,2048
197.157.128.0/18,197.157.128.0,197.157.191.255,18,255.255.192.0,16384
197.157.212.0/22,197.157.212.0,197.157.215.255,22,255.255.252.0,1024
197.234.244.0/22,197.234.244.0,197.234.247.255,22,255.255.252.0,1024
197.243.0.0/17,197.243.0.0,197.243.127.255,17,255.255.128.0,32768
