# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.88.0.0/14,2.88.0.0,2.91.255.255,14,255.252.0.0,262144
5.41.0.0/16,5.41.0.0,5.41.255.255,16,255.255.0.0,65536
5.42.224.0/19,5.42.224.0,5.42.255.255,19,255.255.224.0,8192
5.82.0.0/16,5.82.0.0,5.82.255.255,16,255.255.0.0,65536
5.108.0.0/14,5.108.0.0,5.111.255.255,14,255.252.0.0,262144
5.132.192.0/18,5.132.192.0,5.132.255.255,18,255.255.192.0,16384
5.149.128.0/21,5.149.128.0,5.149.135.255,21,255.255.248.0,2048
5.156.0.0/16,5.156.0.0,5.156.255.255,16,255.255.0.0,65536
5.163.0.0/16,5.163.0.0,5.163.255.255,16,255.255.0.0,65536
5.244.0.0/14,5.244.0.0,5.247.255.255,14,255.252.0.0,262144
5.253.80.0/22,5.253.80.0,5.253.83.255,22,255.255.252.0,1024
31.166.0.0/15,31.166.0.0,31.167.255.255,15,255.254.0.0,131072
37.16.32.0/19,37.16.32.0,37.16.63.255,19,255.255.224.0,8192
37.16.128.0/17,37.16.128.0,37.16.255.255,17,255.255.128.0,32768
37.25.0.0/19,37.25.0.0,37.25.31.255,19,255.255.224.0,8192
37.42.0.0/15,37.42.0.0,37.43.255.255,15,255.254.0.0,131072
37.56.0.0/16,37.56.0.0,37.56.255.255,16,255.255.0.0,65536
37.76.224.0/19,37.76.224.0,37.76.255.255,19,255.255.224.0,8192
37.99.128.0/18,37.99.128.0,37.99.191.255,18,255.255.192.0,16384
37.104.0.0/14,37.104.0.0,37.107.255.255,14,255.252.0.0,262144
37.121.0.0/16,37.121.0.0,37.121.255.255,16,255.255.0.0,65536
37.124.0.0/14,37.124.0.0,37.127.255.255,14,255.252.0.0,262144
37.141.0.0/16,37.141.0.0,37.141.255.255,16,255.255.0.0,65536
37.186.24.0/21,37.186.24.0,37.186.31.255,21,255.255.248.0,2048
37.216.0.0/15,37.216.0.0,37.217.255.255,15,255.254.0.0,131072
37.224.0.0/16,37.224.0.0,37.224.255.255,16,255.255.0.0,65536
37.240.0.0/14,37.240.0.0,37.243.255.255,14,255.252.0.0,262144
45.65.72.0/22,45.65.72.0,45.65.75.255,22,255.255.252.0,1024
45.94.12.0/22,45.94.12.0,45.94.15.255,22,255.255.252.0,1024
45.135.112.0/22,45.135.112.0,45.135.115.255,22,255.255.252.0,1024
46.18.160.0/21,46.18.160.0,46.18.167.255,21,255.255.248.0,2048
46.29.80.0/21,46.29.80.0,46.29.87.255,21,255.255.248.0,2048
46.31.69.0/24,46.31.69.0,46.31.69.255,24,255.255.255.0,256
46.38.64.0/19,46.38.64.0,46.38.95.255,19,255.255.224.0,8192
46.44.64.0/18,46.44.64.0,46.44.127.255,18,255.255.192.0,16384
46.49.128.0/17,46.49.128.0,46.49.255.255,17,255.255.128.0,32768
46.52.0.0/17,46.52.0.0,46.52.127.255,17,255.255.128.0,32768
46.143.128.0/18,46.143.128.0,46.143.191.255,18,255.255.192.0,16384
46.149.0.0/20,46.149.0.0,46.149.15.255,20,255.255.240.0,4096
46.151.208.0/21,46.151.208.0,46.151.215.255,21,255.255.248.0,2048
46.152.0.0/15,46.152.0.0,46.153.255.255,15,255.254.0.0,131072
46.184.0.0/17,46.184.0.0,46.184.127.255,17,255.255.128.0,32768
46.230.0.0/17,46.230.0.0,46.230.127.255,17,255.255.128.0,32768
46.235.88.0/21,46.235.88.0,46.235.95.255,21,255.255.248.0,2048
46.240.0.0/17,46.240.0.0,46.240.127.255,17,255.255.128.0,32768
46.251.128.0/19,46.251.128.0,46.251.159.255,19,255.255.224.0,8192
50.60.0.0/15,50.60.0.0,50.61.255.255,15,255.254.0.0,131072
50.119.0.0/16,50.119.0.0,50.119.255.255,16,255.255.0.0,65536
51.36.0.0/16,51.36.0.0,51.36.255.255,16,255.255.0.0,65536
51.39.0.0/16,51.39.0.0,51.39.255.255,16,255.255.0.0,65536
51.211.0.0/16,51.211.0.0,51.211.255.255,16,255.255.0.0,65536
51.218.0.0/16,51.218.0.0,51.218.255.255,16,255.255.0.0,65536
51.223.0.0/16,51.223.0.0,51.223.255.255,16,255.255.0.0,65536
51.235.0.0/16,51.235.0.0,51.235.255.255,16,255.255.0.0,65536
