# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
103.2.88.0/22,103.2.88.0,103.2.91.255,22,255.255.252.0,1024
103.9.50.0/24,103.9.50.0,103.9.50.255,24,255.255.255.0,256
103.21.230.0/23,103.21.230.0,103.21.231.255,23,255.255.254.0,512
103.21.248.0/22,103.21.248.0,103.21.251.255,22,255.255.252.0,1024
103.89.36.0/24,103.89.36.0,103.89.36.255,24,255.255.255.0,256
103.115.80.0/23,103.115.80.0,103.115.81.255,23,255.255.254.0,512
103.140.178.0/23,103.140.178.0,103.140.179.255,23,255.255.254.0,512
103.142.98.0/23,103.142.98.0,103.142.99.255,23,255.255.254.0,512
103.166.98.0/23,103.166.98.0,103.166.99.255,23,255.255.254.0,512
103.175.40.0/23,103.175.40.0,103.175.41.255,23,255.255.254.0,512
202.1.160.0/19,202.1.160.0,202.1.191.255,19,255.255.224.0,8192
202.63.254.0/23,202.63.254.0,202.63.255.255,23,255.255.254.0,512
