# CIDR,network(start) address,end address,prefix,subnet mask
2.56.10.0/24,2.56.10.0,2.56.10.255,24,255.255.255.0
2.56.100.0/22,2.56.100.0,2.56.103.255,22,255.255.252.0
2.59.20.0/22,2.59.20.0,2.59.23.255,22,255.255.252.0
5.180.136.0/22,5.180.136.0,5.180.139.255,22,255.255.252.0
5.181.40.0/22,5.181.40.0,5.181.43.255,22,255.255.252.0
5.183.209.0/24,5.183.209.0,5.183.209.255,24,255.255.255.0
5.252.116.0/22,5.252.116.0,5.252.119.255,22,255.255.252.0
37.139.132.0/22,37.139.132.0,37.139.135.255,22,255.255.252.0
37.156.68.0/24,37.156.68.0,37.156.68.255,24,255.255.255.0
37.228.128.0/23,37.228.128.0,37.228.129.255,23,255.255.254.0
41.79.60.0/22,41.79.60.0,41.79.63.255,22,255.255.252.0
41.86.32.0/19,41.86.32.0,41.86.63.255,19,255.255.224.0
41.191.120.0/22,41.191.120.0,41.191.123.255,22,255.255.252.0
41.203.240.0/20,41.203.240.0,41.203.255.255,20,255.255.240.0
41.220.96.0/20,41.220.96.0,41.220.111.255,20,255.255.240.0
41.222.204.0/22,41.222.204.0,41.222.207.255,22,255.255.252.0
41.223.204.0/22,41.223.204.0,41.223.207.255,22,255.255.252.0
41.223.216.0/22,41.223.216.0,41.223.219.255,22,255.255.252.0
45.8.208.0/22,45.8.208.0,45.8.211.255,22,255.255.252.0
45.9.72.0/22,45.9.72.0,45.9.75.255,22,255.255.252.0
45.9.116.0/22,45.9.116.0,45.9.119.255,22,255.255.252.0
45.9.120.0/22,45.9.120.0,45.9.123.255,22,255.255.252.0
45.12.60.0/22,45.12.60.0,45.12.63.255,22,255.255.252.0
45.13.184.0/22,45.13.184.0,45.13.187.255,22,255.255.252.0
45.85.160.0/22,45.85.160.0,45.85.163.255,22,255.255.252.0
45.86.12.0/22,45.86.12.0,45.86.15.255,22,255.255.252.0
45.86.44.0/22,45.86.44.0,45.86.47.255,22,255.255.252.0
45.86.244.0/22,45.86.244.0,45.86.247.255,22,255.255.252.0
45.87.240.0/22,45.87.240.0,45.87.243.255,22,255.255.252.0
45.87.248.0/22,45.87.248.0,45.87.251.255,22,255.255.252.0
45.89.64.0/22,45.89.64.0,45.89.67.255,22,255.255.252.0
45.90.216.0/22,45.90.216.0,45.90.219.255,22,255.255.252.0
45.91.208.0/22,45.91.208.0,45.91.211.255,22,255.255.252.0
45.92.20.0/22,45.92.20.0,45.92.23.255,22,255.255.252.0
45.92.168.0/22,45.92.168.0,45.92.171.255,22,255.255.252.0
45.92.244.0/22,45.92.244.0,45.92.247.255,22,255.255.252.0
45.93.68.0/22,45.93.68.0,45.93.71.255,22,255.255.252.0
45.94.36.0/22,45.94.36.0,45.94.39.255,22,255.255.252.0
45.94.44.0/22,45.94.44.0,45.94.47.255,22,255.255.252.0
45.95.96.0/22,45.95.96.0,45.95.99.255,22,255.255.252.0
45.95.200.0/22,45.95.200.0,45.95.203.255,22,255.255.252.0
45.118.248.0/22,45.118.248.0,45.118.251.255,22,255.255.252.0
45.128.24.0/22,45.128.24.0,45.128.27.255,22,255.255.252.0
45.128.76.0/22,45.128.76.0,45.128.79.255,22,255.255.252.0
45.128.176.0/22,45.128.176.0,45.128.179.255,22,255.255.252.0
45.128.244.0/22,45.128.244.0,45.128.247.255,22,255.255.252.0
45.129.124.0/22,45.129.124.0,45.129.127.255,22,255.255.252.0
45.130.60.0/22,45.130.60.0,45.130.63.255,22,255.255.252.0
45.130.124.0/22,45.130.124.0,45.130.127.255,22,255.255.252.0
45.130.128.0/22,45.130.128.0,45.130.131.255,22,255.255.252.0
45.130.252.0/22,45.130.252.0,45.130.255.255,22,255.255.252.0
45.131.212.0/22,45.131.212.0,45.131.215.255,22,255.255.252.0
45.132.76.0/22,45.132.76.0,45.132.79.255,22,255.255.252.0
45.132.252.0/22,45.132.252.0,45.132.255.255,22,255.255.252.0
45.133.76.0/22,45.133.76.0,45.133.79.255,22,255.255.252.0
45.133.208.0/22,45.133.208.0,45.133.211.255,22,255.255.252.0
45.133.220.0/22,45.133.220.0,45.133.223.255,22,255.255.252.0
45.133.244.0/22,45.133.244.0,45.133.247.255,22,255.255.252.0
45.134.184.0/22,45.134.184.0,45.134.187.255,22,255.255.252.0
45.135.36.0/22,45.135.36.0,45.135.39.255,22,255.255.252.0
45.136.172.0/22,45.136.172.0,45.136.175.255,22,255.255.252.0
45.136.228.0/22,45.136.228.0,45.136.231.255,22,255.255.252.0
45.137.40.0/22,45.137.40.0,45.137.43.255,22,255.255.252.0
45.137.60.0/22,45.137.60.0,45.137.63.255,22,255.255.252.0
45.137.80.0/21,45.137.80.0,45.137.87.255,21,255.255.248.0
45.137.104.0/22,45.137.104.0,45.137.107.255,22,255.255.252.0
45.138.72.0/22,45.138.72.0,45.138.75.255,22,255.255.252.0
45.139.84.0/22,45.139.84.0,45.139.87.255,22,255.255.252.0
45.139.122.0/24,45.139.122.0,45.139.122.255,24,255.255.255.0
45.140.12.0/22,45.140.12.0,45.140.15.255,22,255.255.252.0
45.140.248.0/22,45.140.248.0,45.140.251.255,22,255.255.252.0
45.141.176.0/22,45.141.176.0,45.141.179.255,22,255.255.252.0
45.142.28.0/22,45.142.28.0,45.142.31.255,22,255.255.252.0
45.142.116.0/22,45.142.116.0,45.142.119.255,22,255.255.252.0
45.142.120.0/22,45.142.120.0,45.142.123.255,22,255.255.252.0
45.144.64.0/22,45.144.64.0,45.144.67.255,22,255.255.252.0
45.145.12.0/22,45.145.12.0,45.145.15.255,22,255.255.252.0
45.145.56.0/22,45.145.56.0,45.145.59.255,22,255.255.252.0
45.146.88.0/22,45.146.88.0,45.146.91.255,22,255.255.252.0
45.146.128.0/22,45.146.128.0,45.146.131.255,22,255.255.252.0
45.146.180.0/22,45.146.180.0,45.146.183.255,22,255.255.252.0
45.147.28.0/22,45.147.28.0,45.147.31.255,22,255.255.252.0
45.147.100.0/22,45.147.100.0,45.147.103.255,22,255.255.252.0
45.147.180.0/22,45.147.180.0,45.147.183.255,22,255.255.252.0
45.148.100.0/22,45.148.100.0,45.148.103.255,22,255.255.252.0
45.149.144.0/22,45.149.144.0,45.149.147.255,22,255.255.252.0
45.151.100.0/22,45.151.100.0,45.151.103.255,22,255.255.252.0
45.151.104.0/22,45.151.104.0,45.151.107.255,22,255.255.252.0
45.152.196.0/22,45.152.196.0,45.152.199.255,22,255.255.252.0
45.152.200.0/22,45.152.200.0,45.152.203.255,22,255.255.252.0
45.152.208.0/22,45.152.208.0,45.152.211.255,22,255.255.252.0
45.153.20.0/22,45.153.20.0,45.153.23.255,22,255.255.252.0
45.153.216.0/22,45.153.216.0,45.153.219.255,22,255.255.252.0
45.154.56.0/22,45.154.56.0,45.154.59.255,22,255.255.252.0
45.154.84.0/22,45.154.84.0,45.154.87.255,22,255.255.252.0
45.154.228.0/22,45.154.228.0,45.154.231.255,22,255.255.252.0
45.154.244.0/22,45.154.244.0,45.154.247.255,22,255.255.252.0
45.155.68.0/22,45.155.68.0,45.155.71.255,22,255.255.252.0
45.155.200.0/22,45.155.200.0,45.155.203.255,22,255.255.252.0
45.157.36.0/22,45.157.36.0,45.157.39.255,22,255.255.252.0
45.157.120.0/22,45.157.120.0,45.157.123.255,22,255.255.252.0
45.158.184.0/22,45.158.184.0,45.158.187.255,22,255.255.252.0
45.158.196.0/22,45.158.196.0,45.158.199.255,22,255.255.252.0
45.159.144.0/22,45.159.144.0,45.159.147.255,22,255.255.252.0
45.221.64.0/21,45.221.64.0,45.221.71.255,21,255.255.248.0
46.17.104.0/22,46.17.104.0,46.17.107.255,22,255.255.252.0
64.226.54.0/23,64.226.54.0,64.226.55.255,23,255.255.254.0
64.226.156.0/22,64.226.156.0,64.226.159.255,22,255.255.252.0
77.243.88.0/22,77.243.88.0,77.243.91.255,22,255.255.252.0
80.76.32.0/22,80.76.32.0,80.76.35.255,22,255.255.252.0
80.251.152.0/23,80.251.152.0,80.251.153.255,23,255.255.254.0
80.253.248.0/22,80.253.248.0,80.253.251.255,22,255.255.252.0
82.115.220.0/22,82.115.220.0,82.115.223.255,22,255.255.252.0
83.143.104.0/22,83.143.104.0,83.143.107.255,22,255.255.252.0
84.21.188.0/22,84.21.188.0,84.21.191.255,22,255.255.252.0
84.252.72.0/22,84.252.72.0,84.252.75.255,22,255.255.252.0
85.209.0.0/22,85.209.0.0,85.209.3.255,22,255.255.252.0
85.209.128.0/22,85.209.128.0,85.209.131.255,22,255.255.252.0
89.249.49.0/24,89.249.49.0,89.249.49.255,24,255.255.255.0
91.103.252.0/22,91.103.252.0,91.103.255.255,22,255.255.252.0
91.202.60.0/22,91.202.60.0,91.202.63.255,22,255.255.252.0
91.212.100.0/24,91.212.100.0,91.212.100.255,24,255.255.255.0
91.212.107.0/24,91.212.107.0,91.212.107.255,24,255.255.255.0
91.212.120.0/24,91.212.120.0,91.212.120.255,24,255.255.255.0
91.212.123.0/24,91.212.123.0,91.212.123.255,24,255.255.255.0
91.217.76.0/23,91.217.76.0,91.217.77.255,23,255.255.254.0
91.217.80.0/23,91.217.80.0,91.217.81.255,23,255.255.254.0
91.232.255.0/24,91.232.255.0,91.232.255.255,24,255.255.255.0
91.233.20.0/24,91.233.20.0,91.233.20.255,24,255.255.255.0
91.233.54.0/24,91.233.54.0,91.233.54.255,24,255.255.255.0
91.233.89.0/24,91.233.89.0,91.233.89.255,24,255.255.255.0
91.234.196.0/23,91.234.196.0,91.234.197.255,23,255.255.254.0
91.247.38.0/24,91.247.38.0,91.247.38.255,24,255.255.255.0
93.123.72.0/24,93.123.72.0,93.123.72.255,24,255.255.255.0
93.190.244.0/22,93.190.244.0,93.190.247.255,22,255.255.252.0
