# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.67.0.0/18,41.67.0.0,41.67.63.255,18,255.255.192.0,16384
41.78.108.0/22,41.78.108.0,41.78.111.255,22,255.255.252.0,1024
41.95.0.0/16,41.95.0.0,41.95.255.255,16,255.255.0.0,65536
41.202.160.0/19,41.202.160.0,41.202.191.255,19,255.255.224.0,8192
41.209.64.0/18,41.209.64.0,41.209.127.255,18,255.255.192.0,16384
41.218.0.0/18,41.218.0.0,41.218.63.255,18,255.255.192.0,16384
41.223.160.0/22,41.223.160.0,41.223.163.255,22,255.255.252.0,1024
41.223.200.0/22,41.223.200.0,41.223.203.255,22,255.255.252.0,1024
41.240.0.0/15,41.240.0.0,41.241.255.255,15,255.254.0.0,131072
62.12.96.0/20,62.12.96.0,62.12.111.255,20,255.255.240.0,4096
102.120.0.0/13,102.120.0.0,102.127.255.255,13,255.248.0.0,524288
102.130.248.0/21,102.130.248.0,102.130.255.255,21,255.255.248.0,2048
102.143.128.0/17,102.143.128.0,102.143.255.255,17,255.255.128.0,32768
102.181.0.0/17,102.181.0.0,102.181.127.255,17,255.255.128.0,32768
102.181.128.0/18,102.181.128.0,102.181.191.255,18,255.255.192.0,16384
102.181.192.0/19,102.181.192.0,102.181.223.255,19,255.255.224.0,8192
102.210.236.0/22,102.210.236.0,102.210.239.255,22,255.255.252.0,1024
102.218.68.0/22,102.218.68.0,102.218.71.255,22,255.255.252.0,1024
102.218.99.0/24,102.218.99.0,102.218.99.255,24,255.255.255.0,256
102.220.152.0/22,102.220.152.0,102.220.155.255,22,255.255.252.0,1024
105.238.0.0/15,105.238.0.0,105.239.255.255,15,255.254.0.0,131072
154.96.0.0/13,154.96.0.0,154.103.255.255,13,255.248.0.0,524288
155.196.0.0/16,155.196.0.0,155.196.255.255,16,255.255.0.0,65536
196.1.192.0/18,196.1.192.0,196.1.255.255,18,255.255.192.0,16384
196.29.160.0/19,196.29.160.0,196.29.191.255,19,255.255.224.0,8192
196.49.66.0/24,196.49.66.0,196.49.66.255,24,255.255.255.0,256
196.202.128.0/19,196.202.128.0,196.202.159.255,19,255.255.224.0,8192
196.223.20.0/24,196.223.20.0,196.223.20.255,24,255.255.255.0,256
196.223.152.0/21,196.223.152.0,196.223.159.255,21,255.255.248.0,2048
197.208.0.0/15,197.208.0.0,197.209.255.255,15,255.254.0.0,131072
197.251.0.0/17,197.251.0.0,197.251.127.255,17,255.255.128.0,32768
197.252.0.0/16,197.252.0.0,197.252.255.255,16,255.255.0.0,65536
197.254.192.0/18,197.254.192.0,197.254.255.255,18,255.255.192.0,16384
212.0.128.0/19,212.0.128.0,212.0.159.255,19,255.255.224.0,8192
