# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.58.48.0/22,2.58.48.0,2.58.51.255,22,255.255.252.0,1024
2.59.118.0/24,2.59.118.0,2.59.118.255,24,255.255.255.0,256
5.32.136.0/21,5.32.136.0,5.32.143.255,21,255.255.248.0,2048
5.157.72.0/21,5.157.72.0,5.157.79.255,21,255.255.248.0,2048
5.249.176.0/20,5.249.176.0,5.249.191.255,20,255.255.240.0,4096
31.7.192.0/19,31.7.192.0,31.7.223.255,19,255.255.224.0,8192
31.15.128.0/17,31.15.128.0,31.15.255.255,17,255.255.128.0,32768
31.43.162.0/24,31.43.162.0,31.43.162.255,24,255.255.255.0,256
31.185.0.0/21,31.185.0.0,31.185.7.255,21,255.255.248.0,2048
37.18.224.0/20,37.18.224.0,37.18.239.255,20,255.255.240.0,4096
37.19.64.0/21,37.19.64.0,37.19.71.255,21,255.255.248.0,2048
45.8.0.0/22,45.8.0.0,45.8.3.255,22,255.255.252.0,1024
45.15.44.0/22,45.15.44.0,45.15.47.255,22,255.255.252.0,1024
45.141.168.0/22,45.141.168.0,45.141.171.255,22,255.255.252.0,1024
45.144.52.0/22,45.144.52.0,45.144.55.255,22,255.255.252.0,1024
45.146.232.0/22,45.146.232.0,45.146.235.255,22,255.255.252.0,1024
45.147.136.0/22,45.147.136.0,45.147.139.255,22,255.255.252.0,1024
45.149.92.0/22,45.149.92.0,45.149.95.255,22,255.255.252.0,1024
45.156.140.0/22,45.156.140.0,45.156.143.255,22,255.255.252.0,1024
45.157.4.0/22,45.157.4.0,45.157.7.255,22,255.255.252.0,1024
45.158.60.0/22,45.158.60.0,45.158.63.255,22,255.255.252.0,1024
45.158.236.0/22,45.158.236.0,45.158.239.255,22,255.255.252.0,1024
46.19.8.0/21,46.19.8.0,46.19.15.255,21,255.255.248.0,2048
46.23.0.0/20,46.23.0.0,46.23.15.255,20,255.255.240.0,4096
46.54.128.0/17,46.54.128.0,46.54.255.255,17,255.255.128.0,32768
46.122.0.0/15,46.122.0.0,46.123.255.255,15,255.254.0.0,131072
46.150.32.0/19,46.150.32.0,46.150.63.255,19,255.255.224.0,8192
46.151.232.0/21,46.151.232.0,46.151.239.255,21,255.255.248.0,2048
46.163.0.0/18,46.163.0.0,46.163.63.255,18,255.255.192.0,16384
46.164.0.0/18,46.164.0.0,46.164.63.255,18,255.255.192.0,16384
46.182.224.0/21,46.182.224.0,46.182.231.255,21,255.255.248.0,2048
