# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.57.64.0/22,2.57.64.0,2.57.67.255,22,255.255.252.0,1024
5.34.168.0/21,5.34.168.0,5.34.175.255,21,255.255.248.0,2048
5.178.48.0/20,5.178.48.0,5.178.63.255,20,255.255.240.0,4096
5.252.32.0/22,5.252.32.0,5.252.35.255,22,255.255.252.0,1024
31.3.32.0/19,31.3.32.0,31.3.63.255,19,255.255.224.0,8192
31.24.176.0/21,31.24.176.0,31.24.183.255,21,255.255.248.0,2048
31.24.208.0/21,31.24.208.0,31.24.215.255,21,255.255.248.0,2048
31.28.160.0/19,31.28.160.0,31.28.191.255,19,255.255.224.0,8192
31.130.160.0/21,31.130.160.0,31.130.167.255,21,255.255.248.0,2048
31.131.224.0/20,31.131.224.0,31.131.239.255,20,255.255.240.0,4096
31.134.96.0/21,31.134.96.0,31.134.103.255,21,255.255.248.0,2048
31.170.64.0/19,31.170.64.0,31.170.95.255,19,255.255.224.0,8192
37.9.168.0/21,37.9.168.0,37.9.175.255,21,255.255.248.0,2048
37.58.0.0/20,37.58.0.0,37.58.15.255,20,255.255.240.0,4096
37.61.160.0/20,37.61.160.0,37.61.175.255,20,255.255.240.0,4096
37.152.96.0/19,37.152.96.0,37.152.127.255,19,255.255.224.0,8192
45.13.137.0/24,45.13.137.0,45.13.137.255,24,255.255.255.0,256
45.13.138.0/23,45.13.138.0,45.13.139.255,23,255.255.254.0,512
45.66.72.0/22,45.66.72.0,45.66.75.255,22,255.255.252.0,1024
45.81.40.0/23,45.81.40.0,45.81.41.255,23,255.255.254.0,512
45.136.132.0/22,45.136.132.0,45.136.135.255,22,255.255.252.0,1024
45.137.164.0/22,45.137.164.0,45.137.167.255,22,255.255.252.0,1024
45.138.184.0/22,45.138.184.0,45.138.187.255,22,255.255.252.0,1024
45.146.244.0/22,45.146.244.0,45.146.247.255,22,255.255.252.0,1024
45.149.176.0/22,45.149.176.0,45.149.179.255,22,255.255.252.0,1024
45.152.96.0/22,45.152.96.0,45.152.99.255,22,255.255.252.0,1024
46.18.144.0/21,46.18.144.0,46.18.151.255,21,255.255.248.0,2048
46.29.0.0/21,46.29.0.0,46.29.7.255,21,255.255.248.0,2048
46.34.224.0/19,46.34.224.0,46.34.255.255,19,255.255.224.0,8192
46.150.192.0/19,46.150.192.0,46.150.223.255,19,255.255.224.0,8192
46.151.56.0/21,46.151.56.0,46.151.63.255,21,255.255.248.0,2048
46.175.0.0/21,46.175.0.0,46.175.7.255,21,255.255.248.0,2048
46.227.176.0/21,46.227.176.0,46.227.183.255,21,255.255.248.0,2048
46.228.208.0/20,46.228.208.0,46.228.223.255,20,255.255.240.0,4096
46.229.224.0/20,46.229.224.0,46.229.239.255,20,255.255.240.0,4096
46.231.96.0/21,46.231.96.0,46.231.103.255,21,255.255.248.0,2048
46.243.64.0/21,46.243.64.0,46.243.71.255,21,255.255.248.0,2048
62.65.160.0/19,62.65.160.0,62.65.191.255,19,255.255.224.0,8192
62.149.0.0/19,62.149.0.0,62.149.31.255,19,255.255.224.0,8192
62.152.224.0/19,62.152.224.0,62.152.255.255,19,255.255.224.0,8192
62.168.64.0/18,62.168.64.0,62.168.127.255,18,255.255.192.0,16384
62.169.160.0/19,62.169.160.0,62.169.191.255,19,255.255.224.0,8192
62.176.160.0/19,62.176.160.0,62.176.191.255,19,255.255.224.0,8192
62.197.192.0/18,62.197.192.0,62.197.255.255,18,255.255.192.0,16384
77.234.224.0/19,77.234.224.0,77.234.255.255,19,255.255.224.0,8192
77.247.224.0/21,77.247.224.0,77.247.231.255,21,255.255.248.0,2048
78.41.168.0/21,78.41.168.0,78.41.175.255,21,255.255.248.0,2048
78.98.0.0/15,78.98.0.0,78.99.255.255,15,255.254.0.0,131072
78.141.64.0/18,78.141.64.0,78.141.127.255,18,255.255.192.0,16384
80.81.224.0/20,80.81.224.0,80.81.239.255,20,255.255.240.0,4096
80.86.240.0/20,80.86.240.0,80.86.255.255,20,255.255.240.0,4096
80.87.208.0/20,80.87.208.0,80.87.223.255,20,255.255.240.0,4096
80.94.48.0/20,80.94.48.0,80.94.63.255,20,255.255.240.0,4096
80.242.32.0/20,80.242.32.0,80.242.47.255,20,255.255.240.0,4096
80.250.240.0/20,80.250.240.0,80.250.255.255,20,255.255.240.0,4096
81.88.128.0/20,81.88.128.0,81.88.143.255,20,255.255.240.0,4096
81.89.48.0/20,81.89.48.0,81.89.63.255,20,255.255.240.0,4096
81.92.248.0/21,81.92.248.0,81.92.255.255,21,255.255.248.0,2048
81.161.60.0/23,81.161.60.0,81.161.61.255,23,255.255.254.0,512
81.162.80.0/20,81.162.80.0,81.162.95.255,20,255.255.240.0,4096
82.119.96.0/19,82.119.96.0,82.119.127.255,19,255.255.224.0,8192
82.119.224.0/20,82.119.224.0,82.119.239.255,20,255.255.240.0,4096
83.168.128.0/18,83.168.128.0,83.168.191.255,18,255.255.192.0,16384
84.16.32.0/19,84.16.32.0,84.16.63.255,19,255.255.224.0,8192
84.47.0.0/17,84.47.0.0,84.47.127.255,17,255.255.128.0,32768
84.245.64.0/18,84.245.64.0,84.245.127.255,18,255.255.192.0,16384
84.252.116.0/22,84.252.116.0,84.252.119.255,22,255.255.252.0,1024
85.135.128.0/17,85.135.128.0,85.135.255.255,17,255.255.128.0,32768
85.159.104.0/21,85.159.104.0,85.159.111.255,21,255.255.248.0,2048
85.216.128.0/17,85.216.128.0,85.216.255.255,17,255.255.128.0,32768
85.237.224.0/19,85.237.224.0,85.237.255.255,19,255.255.224.0,8192
85.248.0.0/16,85.248.0.0,85.248.255.255,16,255.255.0.0,65536
86.110.224.0/19,86.110.224.0,86.110.255.255,19,255.255.224.0,8192
87.197.0.0/16,87.197.0.0,87.197.255.255,16,255.255.0.0,65536
87.239.56.0/21,87.239.56.0,87.239.63.255,21,255.255.248.0,2048
87.244.192.0/18,87.244.192.0,87.244.255.255,18,255.255.192.0,16384
88.80.224.0/19,88.80.224.0,88.80.255.255,19,255.255.224.0,8192
88.212.0.0/18,88.212.0.0,88.212.63.255,18,255.255.192.0,16384
89.107.144.0/21,89.107.144.0,89.107.151.255,21,255.255.248.0,2048
89.173.0.0/16,89.173.0.0,89.173.255.255,16,255.255.0.0,65536
90.176.0.0/19,90.176.0.0,90.176.31.255,19,255.255.224.0,8192
91.127.0.0/16,91.127.0.0,91.127.255.255,16,255.255.0.0,65536
91.148.0.0/18,91.148.0.0,91.148.63.255,18,255.255.192.0,16384
91.191.64.0/18,91.191.64.0,91.191.127.255,18,255.255.192.0,16384
91.196.196.0/22,91.196.196.0,91.196.199.255,22,255.255.252.0,1024
91.199.31.0/24,91.199.31.0,91.199.31.255,24,255.255.255.0,256
91.201.28.0/22,91.201.28.0,91.201.31.255,22,255.255.252.0,1024
91.208.41.0/24,91.208.41.0,91.208.41.255,24,255.255.255.0,256
91.209.33.0/24,91.209.33.0,91.209.33.255,24,255.255.255.0,256
91.209.247.0/24,91.209.247.0,91.209.247.255,24,255.255.255.0,256
91.210.180.0/22,91.210.180.0,91.210.183.255,22,255.255.252.0,1024
91.212.112.0/24,91.212.112.0,91.212.112.255,24,255.255.255.0,256
91.216.146.0/24,91.216.146.0,91.216.146.255,24,255.255.255.0,256
91.217.32.0/23,91.217.32.0,91.217.33.255,23,255.255.254.0,512
91.219.28.0/22,91.219.28.0,91.219.31.255,22,255.255.252.0,1024
91.219.132.0/22,91.219.132.0,91.219.135.255,22,255.255.252.0,1024
91.220.237.0/24,91.220.237.0,91.220.237.255,24,255.255.255.0,256
91.221.4.0/23,91.221.4.0,91.221.5.255,23,255.255.254.0,512
91.221.110.0/23,91.221.110.0,91.221.111.255,23,255.255.254.0,512
91.221.112.0/23,91.221.112.0,91.221.113.255,23,255.255.254.0,512
91.222.104.0/22,91.222.104.0,91.222.107.255,22,255.255.252.0,1024
91.223.69.0/24,91.223.69.0,91.223.69.255,24,255.255.255.0,256
91.223.173.0/24,91.223.173.0,91.223.173.255,24,255.255.255.0,256
91.223.209.0/24,91.223.209.0,91.223.209.255,24,255.255.255.0,256
91.224.42.0/23,91.224.42.0,91.224.43.255,23,255.255.254.0,512
91.226.112.0/22,91.226.112.0,91.226.115.255,22,255.255.252.0,1024
91.227.224.0/22,91.227.224.0,91.227.227.255,22,255.255.252.0,1024
91.228.164.0/22,91.228.164.0,91.228.167.255,22,255.255.252.0,1024
91.228.244.0/23,91.228.244.0,91.228.245.255,23,255.255.254.0,512
91.229.24.0/24,91.229.24.0,91.229.24.255,24,255.255.255.0,256
91.229.28.0/23,91.229.28.0,91.229.29.255,23,255.255.254.0,512
91.229.36.0/22,91.229.36.0,91.229.39.255,22,255.255.252.0,1024
91.229.225.0/24,91.229.225.0,91.229.225.255,24,255.255.255.0,256
91.230.44.0/23,91.230.44.0,91.230.45.255,23,255.255.254.0,512
91.232.218.0/23,91.232.218.0,91.232.219.255,23,255.255.254.0,512
91.232.220.0/22,91.232.220.0,91.232.223.255,22,255.255.252.0,1024
91.233.248.0/24,91.233.248.0,91.233.248.255,24,255.255.255.0,256
91.235.52.0/22,91.235.52.0,91.235.55.255,22,255.255.252.0,1024
91.236.68.0/22,91.236.68.0,91.236.71.255,22,255.255.252.0,1024
91.236.82.0/24,91.236.82.0,91.236.82.255,24,255.255.255.0,256
91.237.168.0/23,91.237.168.0,91.237.169.255,23,255.255.254.0,512
91.237.170.0/24,91.237.170.0,91.237.170.255,24,255.255.255.0,256
91.242.163.0/24,91.242.163.0,91.242.163.255,24,255.255.255.0,256
91.243.122.0/24,91.243.122.0,91.243.122.255,24,255.255.255.0,256
91.244.226.0/24,91.244.226.0,91.244.226.255,24,255.255.255.0,256
92.52.0.0/18,92.52.0.0,92.52.63.255,18,255.255.192.0,16384
92.60.48.0/20,92.60.48.0,92.60.63.255,20,255.255.240.0,4096
92.240.224.0/20,92.240.224.0,92.240.239.255,20,255.255.240.0,4096
92.240.240.0/23,92.240.240.0,92.240.241.255,23,255.255.254.0,512
92.240.242.0/24,92.240.242.0,92.240.242.255,24,255.255.255.0,256
92.240.244.0/22,92.240.244.0,92.240.247.255,22,255.255.252.0,1024
92.240.248.0/21,92.240.248.0,92.240.255.255,21,255.255.248.0,2048
92.245.0.0/19,92.245.0.0,92.245.31.255,19,255.255.224.0,8192
92.245.192.0/19,92.245.192.0,92.245.223.255,19,255.255.224.0,8192
92.249.26.0/24,92.249.26.0,92.249.26.255,24,255.255.255.0,256
93.174.176.0/21,93.174.176.0,93.174.183.255,21,255.255.248.0,2048
93.184.64.0/20,93.184.64.0,93.184.79.255,20,255.255.240.0,4096
94.124.144.0/21,94.124.144.0,94.124.151.255,21,255.255.248.0,2048
94.136.128.0/19,94.136.128.0,94.136.159.255,19,255.255.224.0,8192
94.177.20.0/24,94.177.20.0,94.177.20.255,24,255.255.255.0,256
94.228.80.0/20,94.228.80.0,94.228.95.255,20,255.255.240.0,4096
94.229.32.0/20,94.229.32.0,94.229.47.255,20,255.255.240.0,4096
95.102.0.0/15,95.102.0.0,95.103.255.255,15,255.254.0.0,131072
95.105.128.0/17,95.105.128.0,95.105.255.255,17,255.255.128.0,32768
95.131.128.0/21,95.131.128.0,95.131.135.255,21,255.255.248.0,2048
95.142.112.0/20,95.142.112.0,95.142.127.255,20,255.255.240.0,4096
95.170.224.0/19,95.170.224.0,95.170.255.255,19,255.255.224.0,8192
109.71.64.0/21,109.71.64.0,109.71.71.255,21,255.255.248.0,2048
109.74.144.0/20,109.74.144.0,109.74.159.255,20,255.255.240.0,4096
109.230.0.0/18,109.230.0.0,109.230.63.255,18,255.255.192.0,16384
109.236.112.0/20,109.236.112.0,109.236.127.255,20,255.255.240.0,4096
134.19.136.0/21,134.19.136.0,134.19.143.255,21,255.255.248.0,2048
141.136.48.0/21,141.136.48.0,141.136.55.255,21,255.255.248.0,2048
145.255.144.0/20,145.255.144.0,145.255.159.255,20,255.255.240.0,4096
147.78.56.0/22,147.78.56.0,147.78.59.255,22,255.255.252.0,1024
147.78.168.0/22,147.78.168.0,147.78.171.255,22,255.255.252.0,1024
147.175.0.0/16,147.175.0.0,147.175.255.255,16,255.255.0.0,65536
147.213.0.0/16,147.213.0.0,147.213.255.255,16,255.255.0.0,65536
147.232.0.0/16,147.232.0.0,147.232.255.255,16,255.255.0.0,65536
151.236.224.0/20,151.236.224.0,151.236.239.255,20,255.255.240.0,4096
152.89.16.0/22,152.89.16.0,152.89.19.255,22,255.255.252.0,1024
158.193.0.0/16,158.193.0.0,158.193.255.255,16,255.255.0.0,65536
158.195.0.0/16,158.195.0.0,158.195.255.255,16,255.255.0.0,65536
158.197.0.0/16,158.197.0.0,158.197.255.255,16,255.255.0.0,65536
158.255.16.0/20,158.255.16.0,158.255.31.255,20,255.255.240.0,4096
158.255.248.0/21,158.255.248.0,158.255.255.255,21,255.255.248.0,2048
159.242.224.0/20,159.242.224.0,159.242.239.255,20,255.255.240.0,4096
159.253.104.0/21,159.253.104.0,159.253.111.255,21,255.255.248.0,2048
160.79.120.0/22,160.79.120.0,160.79.123.255,22,255.255.252.0,1024
164.40.168.0/21,164.40.168.0,164.40.175.255,21,255.255.248.0,2048
171.22.96.0/22,171.22.96.0,171.22.99.255,22,255.255.252.0,1024
176.10.40.0/21,176.10.40.0,176.10.47.255,21,255.255.248.0,2048
176.61.192.0/18,176.61.192.0,176.61.255.255,18,255.255.192.0,16384
176.101.176.0/21,176.101.176.0,176.101.183.255,21,255.255.248.0,2048
176.102.96.0/20,176.102.96.0,176.102.111.255,20,255.255.240.0,4096
176.102.112.0/21,176.102.112.0,176.102.119.255,21,255.255.248.0,2048
176.107.16.0/20,176.107.16.0,176.107.31.255,20,255.255.240.0,4096
176.109.56.0/21,176.109.56.0,176.109.63.255,21,255.255.248.0,2048
176.112.176.0/20,176.112.176.0,176.112.191.255,20,255.255.240.0,4096
176.116.96.0/20,176.116.96.0,176.116.111.255,20,255.255.240.0,4096
176.116.112.0/22,176.116.112.0,176.116.115.255,22,255.255.252.0,1024
176.118.96.0/20,176.118.96.0,176.118.111.255,20,255.255.240.0,4096
178.18.64.0/20,178.18.64.0,178.18.79.255,20,255.255.240.0,4096
178.23.88.0/21,178.23.88.0,178.23.95.255,21,255.255.248.0,2048
178.40.0.0/15,178.40.0.0,178.41.255.255,15,255.254.0.0,131072
178.143.0.0/16,178.143.0.0,178.143.255.255,16,255.255.0.0,65536
178.211.129.0/24,178.211.129.0,178.211.129.255,24,255.255.255.0,256
178.253.128.0/18,178.253.128.0,178.253.191.255,18,255.255.192.0,16384
185.1.234.0/24,185.1.234.0,185.1.234.255,24,255.255.255.0,256
185.9.112.0/22,185.9.112.0,185.9.115.255,22,255.255.252.0,1024
185.14.116.0/22,185.14.116.0,185.14.119.255,22,255.255.252.0,1024
185.18.64.0/22,185.18.64.0,185.18.67.255,22,255.255.252.0,1024
185.19.72.0/22,185.19.72.0,185.19.75.255,22,255.255.252.0,1024
185.22.176.0/22,185.22.176.0,185.22.179.255,22,255.255.252.0,1024
185.22.212.0/22,185.22.212.0,185.22.215.255,22,255.255.252.0,1024
185.23.112.0/22,185.23.112.0,185.23.115.255,22,255.255.252.0,1024
185.25.248.0/22,185.25.248.0,185.25.251.255,22,255.255.252.0,1024
185.28.24.0/22,185.28.24.0,185.28.27.255,22,255.255.252.0,1024
185.28.124.0/22,185.28.124.0,185.28.127.255,22,255.255.252.0,1024
185.28.144.0/22,185.28.144.0,185.28.147.255,22,255.255.252.0,1024
185.29.156.0/22,185.29.156.0,185.29.159.255,22,255.255.252.0,1024
185.30.120.0/22,185.30.120.0,185.30.123.255,22,255.255.252.0,1024
185.37.240.0/22,185.37.240.0,185.37.243.255,22,255.255.252.0,1024
185.42.4.0/22,185.42.4.0,185.42.7.255,22,255.255.252.0,1024
185.43.112.0/22,185.43.112.0,185.43.115.255,22,255.255.252.0,1024
185.48.248.0/22,185.48.248.0,185.48.251.255,22,255.255.252.0,1024
185.50.212.0/22,185.50.212.0,185.50.215.255,22,255.255.252.0,1024
185.54.140.0/22,185.54.140.0,185.54.143.255,22,255.255.252.0,1024
185.54.228.0/22,185.54.228.0,185.54.231.255,22,255.255.252.0,1024
185.58.100.0/22,185.58.100.0,185.58.103.255,22,255.255.252.0,1024
185.59.184.0/22,185.59.184.0,185.59.187.255,22,255.255.252.0,1024
185.61.16.0/22,185.61.16.0,185.61.19.255,22,255.255.252.0,1024
185.63.156.0/22,185.63.156.0,185.63.159.255,22,255.255.252.0,1024
185.65.69.0/24,185.65.69.0,185.65.69.255,24,255.255.255.0,256
185.65.220.0/22,185.65.220.0,185.65.223.255,22,255.255.252.0,1024
185.66.200.0/23,185.66.200.0,185.66.201.255,23,255.255.254.0,512
185.69.48.0/22,185.69.48.0,185.69.51.255,22,255.255.252.0,1024
185.69.104.0/22,185.69.104.0,185.69.107.255,22,255.255.252.0,1024
185.70.0.0/22,185.70.0.0,185.70.3.255,22,255.255.252.0,1024
185.74.196.0/22,185.74.196.0,185.74.199.255,22,255.255.252.0,1024
185.77.144.0/22,185.77.144.0,185.77.147.255,22,255.255.252.0,1024
185.78.152.0/22,185.78.152.0,185.78.155.255,22,255.255.252.0,1024
185.87.12.0/22,185.87.12.0,185.87.15.255,22,255.255.252.0,1024
185.90.164.0/22,185.90.164.0,185.90.167.255,22,255.255.252.0,1024
185.91.200.0/22,185.91.200.0,185.91.203.255,22,255.255.252.0,1024
185.94.156.0/22,185.94.156.0,185.94.159.255,22,255.255.252.0,1024
185.98.208.0/22,185.98.208.0,185.98.211.255,22,255.255.252.0,1024
185.103.144.0/22,185.103.144.0,185.103.147.255,22,255.255.252.0,1024
185.110.140.0/22,185.110.140.0,185.110.143.255,22,255.255.252.0,1024
185.110.144.0/22,185.110.144.0,185.110.147.255,22,255.255.252.0,1024
185.113.44.0/22,185.113.44.0,185.113.47.255,22,255.255.252.0,1024
185.121.64.0/22,185.121.64.0,185.121.67.255,22,255.255.252.0,1024
185.121.240.0/22,185.121.240.0,185.121.243.255,22,255.255.252.0,1024
185.122.52.0/22,185.122.52.0,185.122.55.255,22,255.255.252.0,1024
185.130.220.0/22,185.130.220.0,185.130.223.255,22,255.255.252.0,1024
185.133.60.0/22,185.133.60.0,185.133.63.255,22,255.255.252.0,1024
185.134.212.0/22,185.134.212.0,185.134.215.255,22,255.255.252.0,1024
185.139.224.0/22,185.139.224.0,185.139.227.255,22,255.255.252.0,1024
185.140.28.0/22,185.140.28.0,185.140.31.255,22,255.255.252.0,1024
185.140.40.0/22,185.140.40.0,185.140.43.255,22,255.255.252.0,1024
185.142.48.0/22,185.142.48.0,185.142.51.255,22,255.255.252.0,1024
185.144.164.0/22,185.144.164.0,185.144.167.255,22,255.255.252.0,1024
185.151.0.0/22,185.151.0.0,185.151.3.255,22,255.255.252.0,1024
185.152.28.0/22,185.152.28.0,185.152.31.255,22,255.255.252.0,1024
185.152.112.0/22,185.152.112.0,185.152.115.255,22,255.255.252.0,1024
185.152.196.0/22,185.152.196.0,185.152.199.255,22,255.255.252.0,1024
185.155.48.0/22,185.155.48.0,185.155.51.255,22,255.255.252.0,1024
185.156.128.0/22,185.156.128.0,185.156.131.255,22,255.255.252.0,1024
