# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.78.84.0/22,41.78.84.0,41.78.87.255,22,255.255.252.0,1024
41.191.248.0/22,41.191.248.0,41.191.251.255,22,255.255.252.0,1024
41.223.132.0/22,41.223.132.0,41.223.135.255,22,255.255.252.0,1024
102.22.104.0/22,102.22.104.0,102.22.107.255,22,255.255.252.0,1024
102.23.140.0/22,102.23.140.0,102.23.143.255,22,255.255.252.0,1024
102.143.0.0/17,102.143.0.0,102.143.127.255,17,255.255.128.0,32768
102.176.188.0/22,102.176.188.0,102.176.191.255,22,255.255.252.0,1024
102.207.104.0/22,102.207.104.0,102.207.107.255,22,255.255.252.0,1024
102.208.243.0/24,102.208.243.0,102.208.243.255,24,255.255.255.0,256
102.210.52.0/24,102.210.52.0,102.210.52.255,24,255.255.255.0,256
102.210.193.0/24,102.210.193.0,102.210.193.255,24,255.255.255.0,256
102.216.238.0/23,102.216.238.0,102.216.239.255,23,255.255.254.0,512
102.220.249.0/24,102.220.249.0,102.220.249.255,24,255.255.255.0,256
102.223.154.0/23,102.223.154.0,102.223.155.255,23,255.255.254.0,512
102.223.168.0/22,102.223.168.0,102.223.171.255,22,255.255.252.0,1024
160.19.152.0/22,160.19.152.0,160.19.155.255,22,255.255.252.0,1024
160.20.112.0/22,160.20.112.0,160.20.115.255,22,255.255.252.0,1024
165.73.236.0/22,165.73.236.0,165.73.239.255,22,255.255.252.0,1024
169.239.196.0/22,169.239.196.0,169.239.199.255,22,255.255.252.0,1024
169.239.244.0/22,169.239.244.0,169.239.247.255,22,255.255.252.0,1024
196.43.229.0/24,196.43.229.0,196.43.229.255,24,255.255.255.0,256
196.216.220.0/23,196.216.220.0,196.216.221.255,23,255.255.254.0,512
196.223.10.0/24,196.223.10.0,196.223.10.255,24,255.255.255.0,256
197.157.232.0/22,197.157.232.0,197.157.235.255,22,255.255.252.0,1024
197.215.0.0/17,197.215.0.0,197.215.127.255,17,255.255.128.0,32768
