# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.183.163.0/24,5.183.163.0,5.183.163.255,24,255.255.255.0,256
31.193.32.0/21,31.193.32.0,31.193.39.255,21,255.255.248.0,2048
45.65.80.0/22,45.65.80.0,45.65.83.255,22,255.255.252.0,1024
77.242.208.0/20,77.242.208.0,77.242.223.255,20,255.255.240.0,4096
89.186.32.0/19,89.186.32.0,89.186.63.255,19,255.255.224.0,8192
91.223.220.0/24,91.223.220.0,91.223.220.255,24,255.255.255.0,256
91.234.215.0/24,91.234.215.0,91.234.215.255,24,255.255.255.0,256
94.232.112.0/21,94.232.112.0,94.232.119.255,21,255.255.248.0,2048
109.233.80.0/21,109.233.80.0,109.233.87.255,21,255.255.248.0,2048
109.235.104.0/21,109.235.104.0,109.235.111.255,21,255.255.248.0,2048
185.21.116.0/22,185.21.116.0,185.21.119.255,22,255.255.252.0,1024
185.21.132.0/24,185.21.132.0,185.21.132.255,24,255.255.255.0,256
185.45.40.0/22,185.45.40.0,185.45.43.255,22,255.255.252.0,1024
185.45.68.0/22,185.45.68.0,185.45.71.255,22,255.255.252.0,1024
185.62.32.0/22,185.62.32.0,185.62.35.255,22,255.255.252.0,1024
185.86.60.0/22,185.86.60.0,185.86.63.255,22,255.255.252.0,1024
185.146.128.0/22,185.146.128.0,185.146.131.255,22,255.255.252.0,1024
185.168.168.0/22,185.168.168.0,185.168.171.255,22,255.255.252.0,1024
192.145.48.0/22,192.145.48.0,192.145.51.255,22,255.255.252.0,1024
194.0.27.0/24,194.0.27.0,194.0.27.255,24,255.255.255.0,256
194.183.64.0/19,194.183.64.0,194.183.95.255,19,255.255.224.0,8192
