# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.82.0.0/15,41.82.0.0,41.83.255.255,15,255.254.0.0,131072
41.208.128.0/18,41.208.128.0,41.208.191.255,18,255.255.192.0,16384
41.214.0.0/17,41.214.0.0,41.214.127.255,17,255.255.128.0,32768
41.219.0.0/18,41.219.0.0,41.219.63.255,18,255.255.192.0,16384
102.36.136.0/22,102.36.136.0,102.36.139.255,22,255.255.252.0,1024
102.36.147.0/24,102.36.147.0,102.36.147.255,24,255.255.255.0,256
102.164.128.0/18,102.164.128.0,102.164.191.255,18,255.255.192.0,16384
102.209.208.0/22,102.209.208.0,102.209.211.255,22,255.255.252.0,1024
102.214.191.0/24,102.214.191.0,102.214.191.255,24,255.255.255.0,256
154.65.32.0/21,154.65.32.0,154.65.39.255,21,255.255.248.0,2048
154.73.172.0/22,154.73.172.0,154.73.175.255,22,255.255.252.0,1024
154.115.128.0/20,154.115.128.0,154.115.143.255,20,255.255.240.0,4096
154.124.0.0/15,154.124.0.0,154.125.255.255,15,255.254.0.0,131072
160.0.128.0/18,160.0.128.0,160.0.191.255,18,255.255.192.0,16384
169.239.136.0/22,169.239.136.0,169.239.139.255,22,255.255.252.0,1024
196.1.92.0/22,196.1.92.0,196.1.95.255,22,255.255.252.0,1024
196.1.96.0/22,196.1.96.0,196.1.99.255,22,255.255.252.0,1024
196.1.100.0/24,196.1.100.0,196.1.100.255,24,255.255.255.0,256
196.49.42.0/24,196.49.42.0,196.49.42.255,24,255.255.255.0,256
196.50.8.0/21,196.50.8.0,196.50.15.255,21,255.255.248.0,2048
196.60.40.0/24,196.60.40.0,196.60.40.255,24,255.255.255.0,256
196.207.192.0/18,196.207.192.0,196.207.255.255,18,255.255.192.0,16384
196.223.252.0/24,196.223.252.0,196.223.252.255,24,255.255.255.0,256
196.250.200.0/22,196.250.200.0,196.250.203.255,22,255.255.252.0,1024
213.154.64.0/19,213.154.64.0,213.154.95.255,19,255.255.224.0,8192
