# CIDR,network(start) address,end address,prefix,subnet mask
41.78.72.0/22,41.78.72.0,41.78.75.255,22,255.255.252.0
41.79.196.0/22,41.79.196.0,41.79.199.255,22,255.255.252.0
41.223.108.0/22,41.223.108.0,41.223.111.255,22,255.255.252.0
102.38.48.0/22,102.38.48.0,102.38.51.255,22,255.255.252.0
102.68.16.0/22,102.68.16.0,102.68.19.255,22,255.255.252.0
102.68.144.0/21,102.68.144.0,102.68.151.255,21,255.255.248.0
102.128.128.0/21,102.128.128.0,102.128.135.255,21,255.255.248.0
102.141.196.0/22,102.141.196.0,102.141.199.255,22,255.255.252.0
102.214.168.0/22,102.214.168.0,102.214.171.255,22,255.255.252.0
102.218.10.0/23,102.218.10.0,102.218.11.255,23,255.255.254.0
102.218.56.0/22,102.218.56.0,102.218.59.255,22,255.255.252.0
102.218.98.0/24,102.218.98.0,102.218.98.255,24,255.255.255.0
102.220.40.0/22,102.220.40.0,102.220.43.255,22,255.255.252.0
102.223.188.0/22,102.223.188.0,102.223.191.255,22,255.255.252.0
154.72.24.0/22,154.72.24.0,154.72.27.255,22,255.255.252.0
154.72.48.0/22,154.72.48.0,154.72.51.255,22,255.255.252.0
154.73.24.0/22,154.73.24.0,154.73.27.255,22,255.255.252.0
154.73.44.0/22,154.73.44.0,154.73.47.255,22,255.255.252.0
154.73.124.0/22,154.73.124.0,154.73.127.255,22,255.255.252.0
154.115.192.0/18,154.115.192.0,154.115.255.255,18,255.255.192.0
154.118.240.0/22,154.118.240.0,154.118.243.255,22,255.255.252.0
192.145.168.0/21,192.145.168.0,192.145.175.255,21,255.255.248.0
196.11.62.0/24,196.11.62.0,196.11.62.255,24,255.255.255.0
196.49.58.0/24,196.49.58.0,196.49.58.255,24,255.255.255.0
196.60.54.0/24,196.60.54.0,196.60.54.255,24,255.255.255.0
197.157.244.0/22,197.157.244.0,197.157.247.255,22,255.255.252.0
197.220.64.0/19,197.220.64.0,197.220.95.255,19,255.255.224.0
197.231.200.0/22,197.231.200.0,197.231.203.255,22,255.255.252.0
