# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.79.24.0/22,41.79.24.0,41.79.27.255,22,255.255.252.0,1024
41.79.120.0/22,41.79.120.0,41.79.123.255,22,255.255.252.0,1024
41.222.72.0/22,41.222.72.0,41.222.75.255,22,255.255.252.0,1024
102.22.232.0/22,102.22.232.0,102.22.235.255,22,255.255.252.0,1024
102.23.80.0/22,102.23.80.0,102.23.83.255,22,255.255.252.0,1024
102.36.212.0/22,102.36.212.0,102.36.215.255,22,255.255.252.0,1024
102.64.0.0/22,102.64.0.0,102.64.3.255,22,255.255.252.0,1024
102.64.59.0/24,102.64.59.0,102.64.59.255,24,255.255.255.0,256
102.64.72.0/22,102.64.72.0,102.64.75.255,22,255.255.252.0,1024
102.64.124.0/22,102.64.124.0,102.64.127.255,22,255.255.252.0,1024
102.211.192.0/22,102.211.192.0,102.211.195.255,22,255.255.252.0,1024
102.214.13.0/24,102.214.13.0,102.214.13.255,24,255.255.255.0,256
102.215.16.0/22,102.215.16.0,102.215.19.255,22,255.255.252.0,1024
102.215.216.0/23,102.215.216.0,102.215.217.255,23,255.255.254.0,512
102.216.108.0/22,102.216.108.0,102.216.111.255,22,255.255.252.0,1024
102.222.36.0/22,102.222.36.0,102.222.39.255,22,255.255.252.0,1024
102.222.61.0/24,102.222.61.0,102.222.61.255,24,255.255.255.0,256
102.222.64.0/23,102.222.64.0,102.222.65.255,23,255.255.254.0,512
105.235.208.0/21,105.235.208.0,105.235.215.255,21,255.255.248.0,2048
154.73.88.0/22,154.73.88.0,154.73.91.255,22,255.255.252.0,1024
169.255.24.0/22,169.255.24.0,169.255.27.255,22,255.255.252.0,1024
169.255.136.0/22,169.255.136.0,169.255.139.255,22,255.255.252.0,1024
192.145.180.0/22,192.145.180.0,192.145.183.255,22,255.255.252.0,1024
196.60.88.0/23,196.60.88.0,196.60.89.255,23,255.255.254.0,512
196.192.116.0/22,196.192.116.0,196.192.119.255,22,255.255.252.0,1024
196.201.8.0/22,196.201.8.0,196.201.11.255,22,255.255.252.0,1024
197.231.236.0/22,197.231.236.0,197.231.239.255,22,255.255.252.0,1024
