# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.5.12.0/24,45.5.12.0,45.5.12.255,24,255.255.255.0,256
45.152.216.0/22,45.152.216.0,45.152.219.255,22,255.255.252.0,1024
45.161.24.0/22,45.161.24.0,45.161.27.255,22,255.255.252.0,1024
45.164.207.0/24,45.164.207.0,45.164.207.255,24,255.255.255.0,256
45.166.224.0/23,45.166.224.0,45.166.225.255,23,255.255.254.0,512
45.167.0.0/22,45.167.0.0,45.167.3.255,22,255.255.252.0,1024
45.170.28.0/22,45.170.28.0,45.170.31.255,22,255.255.252.0,1024
45.170.232.0/22,45.170.232.0,45.170.235.255,22,255.255.252.0,1024
45.173.56.0/22,45.173.56.0,45.173.59.255,22,255.255.252.0,1024
45.180.240.0/22,45.180.240.0,45.180.243.255,22,255.255.252.0,1024
45.181.6.0/24,45.181.6.0,45.181.6.255,24,255.255.255.0,256
45.184.100.0/23,45.184.100.0,45.184.101.255,23,255.255.254.0,512
45.185.30.0/24,45.185.30.0,45.185.30.255,24,255.255.255.0,256
45.186.108.0/22,45.186.108.0,45.186.111.255,22,255.255.252.0,1024
45.187.210.0/23,45.187.210.0,45.187.211.255,23,255.255.254.0,512
131.100.140.0/22,131.100.140.0,131.100.143.255,22,255.255.252.0,1024
132.255.208.0/22,132.255.208.0,132.255.211.255,22,255.255.252.0,1024
138.94.244.0/22,138.94.244.0,138.94.247.255,22,255.255.252.0,1024
138.97.140.0/22,138.97.140.0,138.97.143.255,22,255.255.252.0,1024
138.99.0.0/22,138.99.0.0,138.99.3.255,22,255.255.252.0,1024
138.99.180.0/22,138.99.180.0,138.99.183.255,22,255.255.252.0,1024
138.186.248.0/22,138.186.248.0,138.186.251.255,22,255.255.252.0,1024
138.219.12.0/22,138.219.12.0,138.219.15.255,22,255.255.252.0,1024
138.219.156.0/22,138.219.156.0,138.219.159.255,22,255.255.252.0,1024
138.255.152.0/22,138.255.152.0,138.255.155.255,22,255.255.252.0,1024
143.0.104.0/22,143.0.104.0,143.0.107.255,22,255.255.252.0,1024
167.249.20.0/22,167.249.20.0,167.249.23.255,22,255.255.252.0,1024
168.90.108.0/22,168.90.108.0,168.90.111.255,22,255.255.252.0,1024
168.227.20.0/22,168.227.20.0,168.227.23.255,22,255.255.252.0,1024
168.232.36.0/22,168.232.36.0,168.232.39.255,22,255.255.252.0,1024
168.232.48.0/22,168.232.48.0,168.232.51.255,22,255.255.252.0,1024
168.243.0.0/16,168.243.0.0,168.243.255.255,16,255.255.0.0,65536
170.0.176.0/22,170.0.176.0,170.0.179.255,22,255.255.252.0,1024
