# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
131.161.84.0/22,131.161.84.0,131.161.87.255,22,255.255.252.0,1024
168.0.84.0/22,168.0.84.0,168.0.87.255,22,255.255.252.0,1024
168.197.108.0/22,168.197.108.0,168.197.111.255,22,255.255.252.0,1024
170.0.16.0/22,170.0.16.0,170.0.19.255,22,255.255.252.0,1024
190.102.0.0/19,190.102.0.0,190.102.31.255,19,255.255.224.0,8192
190.124.216.0/22,190.124.216.0,190.124.219.255,22,255.255.252.0,1024
190.185.64.0/19,190.185.64.0,190.185.95.255,19,255.255.224.0,8192
200.0.22.0/23,200.0.22.0,200.0.23.255,23,255.255.254.0,512
200.7.32.0/19,200.7.32.0,200.7.63.255,19,255.255.224.0,8192
201.220.0.0/20,201.220.0.0,201.220.15.255,20,255.255.240.0,4096
