# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.0.0.0/16,5.0.0.0,5.0.255.255,16,255.255.0.0,65536
5.104.128.0/21,5.104.128.0,5.104.135.255,21,255.255.248.0,2048
5.134.200.0/21,5.134.200.0,5.134.207.255,21,255.255.248.0,2048
5.134.224.0/19,5.134.224.0,5.134.255.255,19,255.255.224.0,8192
5.155.0.0/16,5.155.0.0,5.155.255.255,16,255.255.0.0,65536
31.9.0.0/16,31.9.0.0,31.9.255.255,16,255.255.0.0,65536
31.14.164.0/22,31.14.164.0,31.14.167.255,22,255.255.252.0,1024
31.193.64.0/20,31.193.64.0,31.193.79.255,20,255.255.240.0,4096
37.48.128.0/18,37.48.128.0,37.48.191.255,18,255.255.192.0,16384
37.48.192.0/19,37.48.192.0,37.48.223.255,19,255.255.224.0,8192
45.132.196.0/22,45.132.196.0,45.132.199.255,22,255.255.252.0,1024
46.40.128.0/18,46.40.128.0,46.40.191.255,18,255.255.192.0,16384
46.53.0.0/17,46.53.0.0,46.53.127.255,17,255.255.128.0,32768
46.57.128.0/17,46.57.128.0,46.57.255.255,17,255.255.128.0,32768
46.58.128.0/17,46.58.128.0,46.58.255.255,17,255.255.128.0,32768
46.161.202.0/23,46.161.202.0,46.161.203.255,23,255.255.254.0,512
46.161.204.0/22,46.161.204.0,46.161.207.255,22,255.255.252.0,1024
46.213.0.0/16,46.213.0.0,46.213.255.255,16,255.255.0.0,65536
62.16.80.0/20,62.16.80.0,62.16.95.255,20,255.255.240.0,4096
77.44.128.0/17,77.44.128.0,77.44.255.255,17,255.255.128.0,32768
78.110.96.0/20,78.110.96.0,78.110.111.255,20,255.255.240.0,4096
78.155.64.0/19,78.155.64.0,78.155.95.255,19,255.255.224.0,8192
79.141.224.0/20,79.141.224.0,79.141.239.255,20,255.255.240.0,4096
80.70.120.0/21,80.70.120.0,80.70.127.255,21,255.255.248.0,2048
82.97.208.0/20,82.97.208.0,82.97.223.255,20,255.255.240.0,4096
82.100.128.0/19,82.100.128.0,82.100.159.255,19,255.255.224.0,8192
82.100.160.0/20,82.100.160.0,82.100.175.255,20,255.255.240.0,4096
82.100.176.0/21,82.100.176.0,82.100.183.255,21,255.255.248.0,2048
82.137.192.0/18,82.137.192.0,82.137.255.255,18,255.255.192.0,16384
83.150.200.0/22,83.150.200.0,83.150.203.255,22,255.255.252.0,1024
84.39.192.0/22,84.39.192.0,84.39.195.255,22,255.255.252.0,1024
88.86.0.0/19,88.86.0.0,88.86.31.255,19,255.255.224.0,8192
89.33.56.0/21,89.33.56.0,89.33.63.255,21,255.255.248.0,2048
89.33.224.0/21,89.33.224.0,89.33.231.255,21,255.255.248.0,2048
89.34.162.0/23,89.34.162.0,89.34.163.255,23,255.255.254.0,512
89.41.138.0/23,89.41.138.0,89.41.139.255,23,255.255.254.0,512
89.41.140.0/22,89.41.140.0,89.41.143.255,22,255.255.252.0,1024
89.45.128.0/20,89.45.128.0,89.45.143.255,20,255.255.240.0,4096
