# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.77.232.0/21,41.77.232.0,41.77.239.255,21,255.255.248.0,2048
41.84.224.0/19,41.84.224.0,41.84.255.255,19,255.255.224.0,8192
41.204.0.0/19,41.204.0.0,41.204.31.255,19,255.255.224.0,8192
41.211.32.0/19,41.211.32.0,41.211.63.255,19,255.255.224.0,8192
41.215.144.0/20,41.215.144.0,41.215.159.255,20,255.255.240.0,4096
69.63.64.0/20,69.63.64.0,69.63.79.255,20,255.255.240.0,4096
102.23.132.0/22,102.23.132.0,102.23.135.255,22,255.255.252.0,1024
102.36.181.0/24,102.36.181.0,102.36.181.255,24,255.255.255.0,256
102.67.144.0/22,102.67.144.0,102.67.147.255,22,255.255.252.0,1024
102.68.48.0/22,102.68.48.0,102.68.51.255,22,255.255.252.0,1024
102.209.176.0/22,102.209.176.0,102.209.179.255,22,255.255.252.0,1024
102.212.200.0/22,102.212.200.0,102.212.203.255,22,255.255.252.0,1024
102.212.228.0/24,102.212.228.0,102.212.228.255,24,255.255.255.0,256
102.214.160.0/22,102.214.160.0,102.214.163.255,22,255.255.252.0,1024
102.215.24.0/22,102.215.24.0,102.215.27.255,22,255.255.252.0,1024
102.215.99.0/24,102.215.99.0,102.215.99.255,24,255.255.255.0,256
102.222.132.0/22,102.222.132.0,102.222.135.255,22,255.255.252.0,1024
154.119.96.0/19,154.119.96.0,154.119.127.255,19,255.255.224.0,8192
160.119.208.0/22,160.119.208.0,160.119.211.255,22,255.255.252.0,1024
165.73.132.0/22,165.73.132.0,165.73.135.255,22,255.255.252.0,1024
196.11.124.0/24,196.11.124.0,196.11.124.255,24,255.255.255.0,256
196.13.168.0/24,196.13.168.0,196.13.168.255,24,255.255.255.0,256
196.28.7.0/24,196.28.7.0,196.28.7.255,24,255.255.255.0,256
196.49.4.0/24,196.49.4.0,196.49.4.255,24,255.255.255.0,256
196.223.37.0/24,196.223.37.0,196.223.37.255,24,255.255.255.0,256
