# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.242.152.0/21,41.242.152.0,41.242.159.255,21,255.255.248.0,2048
102.23.84.0/22,102.23.84.0,102.23.87.255,22,255.255.252.0,1024
102.131.56.0/22,102.131.56.0,102.131.59.255,22,255.255.252.0,1024
102.164.244.0/22,102.164.244.0,102.164.247.255,22,255.255.252.0,1024
102.211.107.0/24,102.211.107.0,102.211.107.255,24,255.255.255.0,256
102.212.248.0/22,102.212.248.0,102.212.251.255,22,255.255.252.0,1024
102.218.112.0/22,102.218.112.0,102.218.115.255,22,255.255.252.0,1024
102.220.101.0/24,102.220.101.0,102.220.101.255,24,255.255.255.0,256
102.220.196.0/22,102.220.196.0,102.220.199.255,22,255.255.252.0,1024
102.223.48.0/22,102.223.48.0,102.223.51.255,22,255.255.252.0,1024
102.223.192.0/22,102.223.192.0,102.223.195.255,22,255.255.252.0,1024
154.68.128.0/19,154.68.128.0,154.68.159.255,19,255.255.224.0,8192
154.73.112.0/22,154.73.112.0,154.73.115.255,22,255.255.252.0,1024
154.73.160.0/21,154.73.160.0,154.73.167.255,21,255.255.248.0,2048
169.239.120.0/22,169.239.120.0,169.239.123.255,22,255.255.252.0,1024
169.255.152.0/22,169.255.152.0,169.255.155.255,22,255.255.252.0,1024
196.49.92.0/24,196.49.92.0,196.49.92.255,24,255.255.255.0,256
196.60.106.0/24,196.60.106.0,196.60.106.255,24,255.255.255.0,256
196.223.42.0/24,196.223.42.0,196.223.42.255,24,255.255.255.0,256
197.149.128.0/22,197.149.128.0,197.149.131.255,22,255.255.252.0,1024
