# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.78.136.0/22,41.78.136.0,41.78.139.255,22,255.255.252.0,1024
41.207.160.0/19,41.207.160.0,41.207.191.255,19,255.255.224.0,8192
80.248.64.0/20,80.248.64.0,80.248.79.255,20,255.255.240.0,4096
102.64.128.0/17,102.64.128.0,102.64.255.255,17,255.255.128.0,32768
102.164.224.0/20,102.164.224.0,102.164.239.255,20,255.255.240.0,4096
102.176.252.0/22,102.176.252.0,102.176.255.255,22,255.255.252.0,1024
102.203.184.0/22,102.203.184.0,102.203.187.255,22,255.255.252.0,1024
102.212.92.0/22,102.212.92.0,102.212.95.255,22,255.255.252.0,1024
102.217.12.0/22,102.217.12.0,102.217.15.255,22,255.255.252.0,1024
102.219.236.0/22,102.219.236.0,102.219.239.255,22,255.255.252.0,1024
154.70.80.0/20,154.70.80.0,154.70.95.255,20,255.255.240.0,4096
156.38.64.0/19,156.38.64.0,156.38.95.255,19,255.255.224.0,8192
160.242.192.0/18,160.242.192.0,160.242.255.255,18,255.255.192.0,16384
196.49.44.0/24,196.49.44.0,196.49.44.255,24,255.255.255.0,256
196.60.42.0/24,196.60.42.0,196.60.42.255,24,255.255.255.0,256
196.168.0.0/14,196.168.0.0,196.171.255.255,14,255.252.0.0,262144
197.148.96.0/19,197.148.96.0,197.148.127.255,19,255.255.224.0,8192
