# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
1.0.128.0/17,1.0.128.0,1.0.255.255,17,255.255.128.0,32768
1.1.128.0/17,1.1.128.0,1.1.255.255,17,255.255.128.0,32768
1.2.128.0/17,1.2.128.0,1.2.255.255,17,255.255.128.0,32768
1.4.128.0/17,1.4.128.0,1.4.255.255,17,255.255.128.0,32768
1.10.128.0/17,1.10.128.0,1.10.255.255,17,255.255.128.0,32768
1.20.0.0/16,1.20.0.0,1.20.255.255,16,255.255.0.0,65536
1.46.0.0/15,1.46.0.0,1.47.255.255,15,255.254.0.0,131072
1.179.128.0/17,1.179.128.0,1.179.255.255,17,255.255.128.0,32768
2.57.124.0/22,2.57.124.0,2.57.127.255,22,255.255.252.0,1024
14.128.8.0/22,14.128.8.0,14.128.11.255,22,255.255.252.0,1024
14.207.0.0/16,14.207.0.0,14.207.255.255,16,255.255.0.0,65536
27.55.0.0/16,27.55.0.0,27.55.255.255,16,255.255.0.0,65536
27.100.40.0/21,27.100.40.0,27.100.47.255,21,255.255.248.0,2048
27.123.16.0/22,27.123.16.0,27.123.19.255,22,255.255.252.0,1024
27.130.0.0/16,27.130.0.0,27.130.255.255,16,255.255.0.0,65536
27.131.128.0/18,27.131.128.0,27.131.191.255,18,255.255.192.0,16384
27.145.0.0/16,27.145.0.0,27.145.255.255,16,255.255.0.0,65536
27.254.0.0/16,27.254.0.0,27.254.255.255,16,255.255.0.0,65536
43.228.80.0/22,43.228.80.0,43.228.83.255,22,255.255.252.0,1024
43.228.196.0/22,43.228.196.0,43.228.199.255,22,255.255.252.0,1024
43.229.44.0/22,43.229.44.0,43.229.47.255,22,255.255.252.0,1024
43.229.68.0/22,43.229.68.0,43.229.71.255,22,255.255.252.0,1024
43.229.76.0/22,43.229.76.0,43.229.79.255,22,255.255.252.0,1024
43.229.132.0/22,43.229.132.0,43.229.135.255,22,255.255.252.0,1024
43.229.148.0/22,43.229.148.0,43.229.151.255,22,255.255.252.0,1024
43.239.251.0/24,43.239.251.0,43.239.251.255,24,255.255.255.0,256
43.240.112.0/22,43.240.112.0,43.240.115.255,22,255.255.252.0,1024
43.241.56.0/22,43.241.56.0,43.241.59.255,22,255.255.252.0,1024
43.245.144.0/22,43.245.144.0,43.245.147.255,22,255.255.252.0,1024
43.246.184.0/22,43.246.184.0,43.246.187.255,22,255.255.252.0,1024
43.247.56.0/22,43.247.56.0,43.247.59.255,22,255.255.252.0,1024
43.249.32.0/22,43.249.32.0,43.249.35.255,22,255.255.252.0,1024
43.249.56.0/21,43.249.56.0,43.249.63.255,21,255.255.248.0,2048
43.249.64.0/21,43.249.64.0,43.249.71.255,21,255.255.248.0,2048
43.249.104.0/21,43.249.104.0,43.249.111.255,21,255.255.248.0,2048
43.249.112.0/22,43.249.112.0,43.249.115.255,22,255.255.252.0,1024
43.251.204.0/22,43.251.204.0,43.251.207.255,22,255.255.252.0,1024
43.252.120.0/22,43.252.120.0,43.252.123.255,22,255.255.252.0,1024
43.252.180.0/22,43.252.180.0,43.252.183.255,22,255.255.252.0,1024
43.254.132.0/22,43.254.132.0,43.254.135.255,22,255.255.252.0,1024
43.255.60.0/22,43.255.60.0,43.255.63.255,22,255.255.252.0,1024
43.255.240.0/22,43.255.240.0,43.255.243.255,22,255.255.252.0,1024
45.64.76.0/22,45.64.76.0,45.64.79.255,22,255.255.252.0,1024
45.64.88.0/22,45.64.88.0,45.64.91.255,22,255.255.252.0,1024
45.64.184.0/22,45.64.184.0,45.64.187.255,22,255.255.252.0,1024
45.89.176.0/22,45.89.176.0,45.89.179.255,22,255.255.252.0,1024
45.112.64.0/22,45.112.64.0,45.112.67.255,22,255.255.252.0,1024
45.112.140.0/22,45.112.140.0,45.112.143.255,22,255.255.252.0,1024
45.113.60.0/23,45.113.60.0,45.113.61.255,23,255.255.254.0,512
45.115.50.0/23,45.115.50.0,45.115.51.255,23,255.255.254.0,512
45.115.118.0/24,45.115.118.0,45.115.118.255,24,255.255.255.0,256
45.116.216.0/22,45.116.216.0,45.116.219.255,22,255.255.252.0,1024
45.117.208.0/22,45.117.208.0,45.117.211.255,22,255.255.252.0,1024
45.121.60.0/22,45.121.60.0,45.121.63.255,22,255.255.252.0,1024
45.122.48.0/22,45.122.48.0,45.122.51.255,22,255.255.252.0,1024
45.125.128.0/22,45.125.128.0,45.125.131.255,22,255.255.252.0,1024
45.125.228.0/22,45.125.228.0,45.125.231.255,22,255.255.252.0,1024
45.126.224.0/22,45.126.224.0,45.126.227.255,22,255.255.252.0,1024
45.127.60.0/22,45.127.60.0,45.127.63.255,22,255.255.252.0,1024
45.157.88.0/22,45.157.88.0,45.157.91.255,22,255.255.252.0,1024
45.250.176.0/22,45.250.176.0,45.250.179.255,22,255.255.252.0,1024
45.252.52.0/22,45.252.52.0,45.252.55.255,22,255.255.252.0,1024
