# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
37.98.152.0/21,37.98.152.0,37.98.159.255,21,255.255.248.0,2048
45.81.37.0/24,45.81.37.0,45.81.37.255,24,255.255.255.0,256
45.94.216.0/22,45.94.216.0,45.94.219.255,22,255.255.252.0,1024
45.124.96.0/23,45.124.96.0,45.124.97.255,23,255.255.254.0,512
46.20.192.0/20,46.20.192.0,46.20.207.255,20,255.255.240.0,4096
62.122.136.0/21,62.122.136.0,62.122.143.255,21,255.255.248.0,2048
77.95.0.0/21,77.95.0.0,77.95.7.255,21,255.255.248.0,2048
77.244.144.0/20,77.244.144.0,77.244.159.255,20,255.255.240.0,4096
77.247.198.0/24,77.247.198.0,77.247.198.255,24,255.255.255.0,256
79.170.184.0/21,79.170.184.0,79.170.191.255,21,255.255.248.0,2048
80.73.240.0/24,80.73.240.0,80.73.240.255,24,255.255.255.0,256
85.8.129.0/24,85.8.129.0,85.8.129.255,24,255.255.255.0,256
85.9.128.0/18,85.9.128.0,85.9.191.255,18,255.255.192.0,16384
89.104.121.0/24,89.104.121.0,89.104.121.255,24,255.255.255.0,256
91.193.26.0/24,91.193.26.0,91.193.26.255,24,255.255.255.0,256
91.200.216.0/22,91.200.216.0,91.200.219.255,22,255.255.252.0,1024
91.218.160.0/22,91.218.160.0,91.218.163.255,22,255.255.252.0,1024
91.218.168.0/22,91.218.168.0,91.218.171.255,22,255.255.252.0,1024
91.231.252.0/22,91.231.252.0,91.231.255.255,22,255.255.252.0,1024
91.235.36.0/22,91.235.36.0,91.235.39.255,22,255.255.252.0,1024
94.199.16.0/21,94.199.16.0,94.199.23.255,21,255.255.248.0,2048
95.142.80.0/20,95.142.80.0,95.142.95.255,20,255.255.240.0,4096
109.68.232.0/21,109.68.232.0,109.68.239.255,21,255.255.248.0,2048
109.74.64.0/20,109.74.64.0,109.74.79.255,20,255.255.240.0,4096
109.75.48.0/20,109.75.48.0,109.75.63.255,20,255.255.240.0,4096
141.193.59.0/24,141.193.59.0,141.193.59.255,24,255.255.255.0,256
146.19.183.0/24,146.19.183.0,146.19.183.255,24,255.255.255.0,256
162.120.21.0/24,162.120.21.0,162.120.21.255,24,255.255.255.0,256
176.113.128.0/20,176.113.128.0,176.113.143.255,20,255.255.240.0,4096
185.42.96.0/22,185.42.96.0,185.42.99.255,22,255.255.252.0,1024
185.105.228.0/22,185.105.228.0,185.105.231.255,22,255.255.252.0,1024
185.121.0.0/22,185.121.0.0,185.121.3.255,22,255.255.252.0,1024
185.166.56.0/22,185.166.56.0,185.166.59.255,22,255.255.252.0,1024
185.177.0.0/22,185.177.0.0,185.177.3.255,22,255.255.252.0,1024
185.191.52.0/22,185.191.52.0,185.191.55.255,22,255.255.252.0,1024
185.194.196.0/22,185.194.196.0,185.194.199.255,22,255.255.252.0,1024
185.208.96.0/22,185.208.96.0,185.208.99.255,22,255.255.252.0,1024
185.222.211.0/24,185.222.211.0,185.222.211.255,24,255.255.255.0,256
193.24.110.0/24,193.24.110.0,193.24.110.255,24,255.255.255.0,256
193.33.130.0/23,193.33.130.0,193.33.131.255,23,255.255.254.0,512
193.33.136.0/23,193.33.136.0,193.33.137.255,23,255.255.254.0,512
193.57.208.0/22,193.57.208.0,193.57.211.255,22,255.255.252.0,1024
193.111.10.0/23,193.111.10.0,193.111.11.255,23,255.255.254.0,512
195.26.238.0/23,195.26.238.0,195.26.239.255,23,255.255.254.0,512
195.246.102.0/23,195.246.102.0,195.246.103.255,23,255.255.254.0,512
195.246.192.0/24,195.246.192.0,195.246.192.255,24,255.255.255.0,256
217.8.32.0/20,217.8.32.0,217.8.47.255,20,255.255.240.0,4096
217.11.176.0/20,217.11.176.0,217.11.191.255,20,255.255.240.0,4096
217.65.64.0/24,217.65.64.0,217.65.64.255,24,255.255.255.0,256
217.197.105.0/24,217.197.105.0,217.197.105.255,24,255.255.255.0,256
