# CIDR,network(start) address,end address,prefix,subnet mask
41.62.0.0/16,41.62.0.0,41.62.255.255,16,255.255.0.0
41.224.0.0/13,41.224.0.0,41.231.255.255,13,255.248.0.0
91.198.207.0/24,91.198.207.0,91.198.207.255,24,255.255.255.0
102.24.0.0/13,102.24.0.0,102.31.255.255,13,255.248.0.0
102.104.0.0/13,102.104.0.0,102.111.255.255,13,255.248.0.0
102.128.0.0/18,102.128.0.0,102.128.63.255,18,255.255.192.0
102.141.204.0/22,102.141.204.0,102.141.207.255,22,255.255.252.0
102.152.0.0/13,102.152.0.0,102.159.255.255,13,255.248.0.0
102.164.112.0/23,102.164.112.0,102.164.113.255,23,255.255.254.0
102.168.0.0/13,102.168.0.0,102.175.255.255,13,255.248.0.0
102.211.208.0/22,102.211.208.0,102.211.211.255,22,255.255.252.0
102.212.8.0/23,102.212.8.0,102.212.9.255,23,255.255.254.0
102.215.218.0/23,102.215.218.0,102.215.219.255,23,255.255.254.0
102.217.168.0/22,102.217.168.0,102.217.171.255,22,255.255.252.0
102.217.210.0/24,102.217.210.0,102.217.210.255,24,255.255.255.0
102.219.112.0/22,102.219.112.0,102.219.115.255,22,255.255.252.0
102.219.164.0/22,102.219.164.0,102.219.167.255,22,255.255.252.0
102.219.176.0/22,102.219.176.0,102.219.179.255,22,255.255.252.0
102.220.118.0/24,102.220.118.0,102.220.118.255,24,255.255.255.0
102.221.128.0/22,102.221.128.0,102.221.131.255,22,255.255.252.0
102.240.0.0/14,102.240.0.0,102.243.255.255,14,255.252.0.0
154.72.224.0/20,154.72.224.0,154.72.239.255,20,255.255.240.0
154.104.0.0/13,154.104.0.0,154.111.255.255,13,255.248.0.0
160.156.0.0/14,160.156.0.0,160.159.255.255,14,255.252.0.0
164.160.0.0/22,164.160.0.0,164.160.3.255,22,255.255.252.0
165.50.0.0/15,165.50.0.0,165.51.255.255,15,255.254.0.0
169.255.68.0/22,169.255.68.0,169.255.71.255,22,255.255.252.0
192.68.138.0/24,192.68.138.0,192.68.138.255,24,255.255.255.0
193.39.113.0/24,193.39.113.0,193.39.113.255,24,255.255.255.0
193.95.0.0/17,193.95.0.0,193.95.127.255,17,255.255.128.0
193.105.15.0/24,193.105.15.0,193.105.15.255,24,255.255.255.0
193.218.123.0/24,193.218.123.0,193.218.123.255,24,255.255.255.0
196.41.95.0/24,196.41.95.0,196.41.95.255,24,255.255.255.0
196.176.0.0/14,196.176.0.0,196.179.255.255,14,255.252.0.0
196.184.0.0/14,196.184.0.0,196.187.255.255,14,255.252.0.0
196.203.0.0/16,196.203.0.0,196.203.255.255,16,255.255.0.0
196.216.156.0/22,196.216.156.0,196.216.159.255,22,255.255.252.0
196.224.0.0/12,196.224.0.0,196.239.255.255,12,255.240.0.0
197.0.0.0/11,197.0.0.0,197.31.255.255,11,255.224.0.0
197.238.0.0/16,197.238.0.0,197.238.255.255,16,255.255.0.0
197.240.0.0/16,197.240.0.0,197.240.255.255,16,255.255.0.0
197.244.0.0/16,197.244.0.0,197.244.255.255,16,255.255.0.0
213.150.160.0/19,213.150.160.0,213.150.191.255,19,255.255.224.0
