# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
43.255.148.0/22,43.255.148.0,43.255.151.255,22,255.255.252.0,1024
103.54.78.0/23,103.54.78.0,103.54.79.255,23,255.255.254.0,512
103.124.187.0/24,103.124.187.0,103.124.187.255,24,255.255.255.0,256
103.134.118.0/23,103.134.118.0,103.134.119.255,23,255.255.254.0,512
103.154.96.0/23,103.154.96.0,103.154.97.255,23,255.255.254.0,512
103.239.160.0/22,103.239.160.0,103.239.163.255,22,255.255.252.0,1024
103.242.126.0/23,103.242.126.0,103.242.127.255,23,255.255.254.0,512
103.245.160.0/22,103.245.160.0,103.245.163.255,22,255.255.252.0,1024
175.176.144.0/21,175.176.144.0,175.176.151.255,21,255.255.248.0,2048
202.43.8.0/21,202.43.8.0,202.43.15.255,21,255.255.248.0,2048
202.134.24.0/21,202.134.24.0,202.134.31.255,21,255.255.248.0,2048
