# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.60.0/22,2.56.60.0,2.56.63.255,22,255.255.252.0,1024
2.56.152.0/22,2.56.152.0,2.56.155.255,22,255.255.252.0,1024
2.57.188.0/22,2.57.188.0,2.57.191.255,22,255.255.252.0,1024
2.57.212.0/23,2.57.212.0,2.57.213.255,23,255.255.254.0,512
2.57.238.0/24,2.57.238.0,2.57.238.255,24,255.255.255.0,256
2.58.40.0/22,2.58.40.0,2.58.43.255,22,255.255.252.0,1024
2.58.140.0/22,2.58.140.0,2.58.143.255,22,255.255.252.0,1024
2.59.117.0/24,2.59.117.0,2.59.117.255,24,255.255.255.0,256
2.59.119.0/24,2.59.119.0,2.59.119.255,24,255.255.255.0,256
5.2.80.0/21,5.2.80.0,5.2.87.255,21,255.255.248.0,2048
5.11.128.0/17,5.11.128.0,5.11.255.255,17,255.255.128.0,32768
5.23.120.0/21,5.23.120.0,5.23.127.255,21,255.255.248.0,2048
5.24.0.0/14,5.24.0.0,5.27.255.255,14,255.252.0.0,262144
5.42.202.0/24,5.42.202.0,5.42.202.255,24,255.255.255.0,256
5.44.80.0/20,5.44.80.0,5.44.95.255,20,255.255.240.0,4096
5.44.144.0/20,5.44.144.0,5.44.159.255,20,255.255.240.0,4096
5.46.0.0/15,5.46.0.0,5.47.255.255,15,255.254.0.0,131072
5.57.215.0/24,5.57.215.0,5.57.215.255,24,255.255.255.0,256
5.104.0.0/20,5.104.0.0,5.104.15.255,20,255.255.240.0,4096
5.133.100.0/22,5.133.100.0,5.133.103.255,22,255.255.252.0,1024
5.133.124.0/22,5.133.124.0,5.133.127.255,22,255.255.252.0,1024
5.159.248.0/21,5.159.248.0,5.159.255.255,21,255.255.248.0,2048
5.172.177.0/24,5.172.177.0,5.172.177.255,24,255.255.255.0,256
5.176.0.0/15,5.176.0.0,5.177.255.255,15,255.254.0.0,131072
5.180.104.0/22,5.180.104.0,5.180.107.255,22,255.255.252.0,1024
5.180.184.0/22,5.180.184.0,5.180.187.255,22,255.255.252.0,1024
5.181.16.0/22,5.181.16.0,5.181.19.255,22,255.255.252.0,1024
5.181.140.0/22,5.181.140.0,5.181.143.255,22,255.255.252.0,1024
5.181.212.0/22,5.181.212.0,5.181.215.255,22,255.255.252.0,1024
5.182.244.0/22,5.182.244.0,5.182.247.255,22,255.255.252.0,1024
5.226.192.0/18,5.226.192.0,5.226.255.255,18,255.255.192.0,16384
5.229.0.0/16,5.229.0.0,5.229.255.255,16,255.255.0.0,65536
5.250.240.0/20,5.250.240.0,5.250.255.255,20,255.255.240.0,4096
5.252.4.0/22,5.252.4.0,5.252.7.255,22,255.255.252.0,1024
5.252.96.0/22,5.252.96.0,5.252.99.255,22,255.255.252.0,1024
5.252.204.0/22,5.252.204.0,5.252.207.255,22,255.255.252.0,1024
5.253.140.0/22,5.253.140.0,5.253.143.255,22,255.255.252.0,1024
5.253.172.0/22,5.253.172.0,5.253.175.255,22,255.255.252.0,1024
5.253.220.0/22,5.253.220.0,5.253.223.255,22,255.255.252.0,1024
5.253.248.0/22,5.253.248.0,5.253.251.255,22,255.255.252.0,1024
24.133.0.0/16,24.133.0.0,24.133.255.255,16,255.255.0.0,65536
31.3.0.0/21,31.3.0.0,31.3.7.255,21,255.255.248.0,2048
31.7.32.0/21,31.7.32.0,31.7.39.255,21,255.255.248.0,2048
31.12.74.0/24,31.12.74.0,31.12.74.255,24,255.255.255.0,256
31.14.52.0/24,31.14.52.0,31.14.52.255,24,255.255.255.0,256
31.14.64.0/24,31.14.64.0,31.14.64.255,24,255.255.255.0,256
31.14.218.0/24,31.14.218.0,31.14.218.255,24,255.255.255.0,256
31.14.232.0/24,31.14.232.0,31.14.232.255,24,255.255.255.0,256
31.14.253.0/24,31.14.253.0,31.14.253.255,24,255.255.255.0,256
31.24.82.0/24,31.24.82.0,31.24.82.255,24,255.255.255.0,256
31.24.254.0/24,31.24.254.0,31.24.254.255,24,255.255.255.0,256
31.25.168.0/21,31.25.168.0,31.25.175.255,21,255.255.248.0,2048
31.40.196.0/22,31.40.196.0,31.40.199.255,22,255.255.252.0,1024
31.40.204.0/22,31.40.204.0,31.40.207.255,22,255.255.252.0,1024
31.40.240.0/22,31.40.240.0,31.40.243.255,22,255.255.252.0,1024
31.44.192.0/20,31.44.192.0,31.44.207.255,20,255.255.240.0,4096
31.140.0.0/14,31.140.0.0,31.143.255.255,14,255.252.0.0,262144
31.145.0.0/16,31.145.0.0,31.145.255.255,16,255.255.0.0,65536
31.155.0.0/16,31.155.0.0,31.155.255.255,16,255.255.0.0,65536
31.169.64.0/19,31.169.64.0,31.169.95.255,19,255.255.224.0,8192
31.176.0.0/17,31.176.0.0,31.176.127.255,17,255.255.128.0,32768
31.177.128.0/17,31.177.128.0,31.177.255.255,17,255.255.128.0,32768
31.186.0.0/19,31.186.0.0,31.186.31.255,19,255.255.224.0,8192
31.192.208.0/21,31.192.208.0,31.192.215.255,21,255.255.248.0,2048
31.200.0.0/17,31.200.0.0,31.200.127.255,17,255.255.128.0,32768
31.206.0.0/16,31.206.0.0,31.206.255.255,16,255.255.0.0,65536
31.207.80.0/21,31.207.80.0,31.207.87.255,21,255.255.248.0,2048
31.209.96.0/20,31.209.96.0,31.209.111.255,20,255.255.240.0,4096
31.210.17.0/24,31.210.17.0,31.210.17.255,24,255.255.255.0,256
31.210.32.0/19,31.210.32.0,31.210.63.255,19,255.255.224.0,8192
31.210.64.0/18,31.210.64.0,31.210.127.255,18,255.255.192.0,16384
31.210.152.0/21,31.210.152.0,31.210.159.255,21,255.255.248.0,2048
31.214.129.0/24,31.214.129.0,31.214.129.255,24,255.255.255.0,256
31.214.152.0/24,31.214.152.0,31.214.152.255,24,255.255.255.0,256
31.223.0.0/17,31.223.0.0,31.223.127.255,17,255.255.128.0,32768
