# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.185.20.0/22,45.185.20.0,45.185.23.255,22,255.255.252.0,1024
45.234.164.0/22,45.234.164.0,45.234.167.255,22,255.255.252.0,1024
45.237.88.0/22,45.237.88.0,45.237.91.255,22,255.255.252.0,1024
64.28.128.0/20,64.28.128.0,64.28.143.255,20,255.255.240.0,4096
131.72.76.0/22,131.72.76.0,131.72.79.255,22,255.255.252.0,1024
131.100.36.0/22,131.100.36.0,131.100.39.255,22,255.255.252.0,1024
131.100.160.0/22,131.100.160.0,131.100.163.255,22,255.255.252.0,1024
131.221.28.0/22,131.221.28.0,131.221.31.255,22,255.255.252.0,1024
138.59.24.0/22,138.59.24.0,138.59.27.255,22,255.255.252.0,1024
138.94.240.0/22,138.94.240.0,138.94.243.255,22,255.255.252.0,1024
143.0.172.0/22,143.0.172.0,143.0.175.255,22,255.255.252.0,1024
143.137.192.0/22,143.137.192.0,143.137.195.255,22,255.255.252.0,1024
161.0.112.0/21,161.0.112.0,161.0.119.255,21,255.255.248.0,2048
161.0.224.0/19,161.0.224.0,161.0.255.255,19,255.255.224.0,8192
168.195.120.0/22,168.195.120.0,168.195.123.255,22,255.255.252.0,1024
170.0.244.0/22,170.0.244.0,170.0.247.255,22,255.255.252.0,1024
170.82.208.0/22,170.82.208.0,170.82.211.255,22,255.255.252.0,1024
170.82.216.0/22,170.82.216.0,170.82.219.255,22,255.255.252.0,1024
170.84.8.0/22,170.84.8.0,170.84.11.255,22,255.255.252.0,1024
170.246.160.0/22,170.246.160.0,170.246.163.255,22,255.255.252.0,1024
179.0.28.0/24,179.0.28.0,179.0.28.255,24,255.255.255.0,256
179.60.212.0/22,179.60.212.0,179.60.215.255,22,255.255.252.0,1024
181.118.32.0/19,181.118.32.0,181.118.63.255,19,255.255.224.0,8192
181.188.0.0/17,181.188.0.0,181.188.127.255,17,255.255.128.0,32768
186.44.0.0/15,186.44.0.0,186.45.255.255,15,255.254.0.0,131072
186.96.208.0/20,186.96.208.0,186.96.223.255,20,255.255.240.0,4096
186.195.248.0/22,186.195.248.0,186.195.251.255,22,255.255.252.0,1024
190.6.224.0/20,190.6.224.0,190.6.239.255,20,255.255.240.0,4096
190.58.0.0/15,190.58.0.0,190.59.255.255,15,255.254.0.0,131072
190.83.128.0/17,190.83.128.0,190.83.255.255,17,255.255.128.0,32768
190.93.0.0/19,190.93.0.0,190.93.31.255,19,255.255.224.0,8192
190.93.64.0/18,190.93.64.0,190.93.127.255,18,255.255.192.0,16384
190.97.96.0/20,190.97.96.0,190.97.111.255,20,255.255.240.0,4096
190.213.0.0/16,190.213.0.0,190.213.255.255,16,255.255.0.0,65536
196.3.132.0/22,196.3.132.0,196.3.135.255,22,255.255.252.0,1024
196.3.136.0/21,196.3.136.0,196.3.143.255,21,255.255.248.0,2048
196.3.144.0/22,196.3.144.0,196.3.147.255,22,255.255.252.0,1024
196.29.64.0/19,196.29.64.0,196.29.95.255,19,255.255.224.0,8192
196.32.32.0/19,196.32.32.0,196.32.63.255,19,255.255.224.0,8192
200.1.104.0/21,200.1.104.0,200.1.111.255,21,255.255.248.0,2048
200.3.176.0/21,200.3.176.0,200.3.183.255,21,255.255.248.0,2048
200.7.88.0/21,200.7.88.0,200.7.95.255,21,255.255.248.0,2048
200.9.216.0/23,200.9.216.0,200.9.217.255,23,255.255.254.0,512
200.9.218.0/24,200.9.218.0,200.9.218.255,24,255.255.255.0,256
200.12.240.0/21,200.12.240.0,200.12.247.255,21,255.255.248.0,2048
200.108.0.0/19,200.108.0.0,200.108.31.255,19,255.255.224.0,8192
200.125.160.0/21,200.125.160.0,200.125.167.255,21,255.255.248.0,2048
201.221.64.0/19,201.221.64.0,201.221.95.255,19,255.255.224.0,8192
201.238.64.0/18,201.238.64.0,201.238.127.255,18,255.255.192.0,16384
209.94.192.0/19,209.94.192.0,209.94.223.255,19,255.255.224.0,8192
