# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.59.0.0/16,41.59.0.0,41.59.255.255,16,255.255.0.0,65536
41.73.160.0/19,41.73.160.0,41.73.191.255,19,255.255.224.0,8192
41.73.192.0/19,41.73.192.0,41.73.223.255,19,255.255.224.0,8192
41.74.112.0/20,41.74.112.0,41.74.127.255,20,255.255.240.0,4096
41.75.208.0/20,41.75.208.0,41.75.223.255,20,255.255.240.0,4096
41.78.64.0/22,41.78.64.0,41.78.67.255,22,255.255.252.0,1024
41.78.168.0/22,41.78.168.0,41.78.171.255,22,255.255.252.0,1024
41.79.68.0/22,41.79.68.0,41.79.71.255,22,255.255.252.0,1024
41.79.184.0/22,41.79.184.0,41.79.187.255,22,255.255.252.0,1024
41.79.248.0/22,41.79.248.0,41.79.251.255,22,255.255.252.0,1024
41.86.160.0/19,41.86.160.0,41.86.191.255,19,255.255.224.0,8192
41.93.0.0/17,41.93.0.0,41.93.127.255,17,255.255.128.0,32768
41.188.128.0/18,41.188.128.0,41.188.191.255,18,255.255.192.0,16384
41.204.128.0/19,41.204.128.0,41.204.159.255,19,255.255.224.0,8192
41.207.240.0/21,41.207.240.0,41.207.247.255,21,255.255.248.0,2048
41.217.200.0/22,41.217.200.0,41.217.203.255,22,255.255.252.0,1024
41.220.128.0/20,41.220.128.0,41.220.143.255,20,255.255.240.0,4096
41.220.176.0/20,41.220.176.0,41.220.191.255,20,255.255.240.0,4096
41.221.32.0/19,41.221.32.0,41.221.63.255,19,255.255.224.0,8192
41.222.56.0/21,41.222.56.0,41.222.63.255,21,255.255.248.0,2048
41.222.88.0/21,41.222.88.0,41.222.95.255,21,255.255.248.0,2048
41.222.176.0/21,41.222.176.0,41.222.183.255,21,255.255.248.0,2048
41.223.4.0/22,41.223.4.0,41.223.7.255,22,255.255.252.0,1024
41.223.180.0/22,41.223.180.0,41.223.183.255,22,255.255.252.0,1024
41.223.228.0/22,41.223.228.0,41.223.231.255,22,255.255.252.0,1024
45.220.48.0/24,45.220.48.0,45.220.48.255,24,255.255.255.0,256
45.221.192.0/21,45.221.192.0,45.221.199.255,21,255.255.248.0,2048
102.23.218.0/23,102.23.218.0,102.23.219.255,23,255.255.254.0,512
102.64.64.0/21,102.64.64.0,102.64.71.255,21,255.255.248.0,2048
102.68.64.0/22,102.68.64.0,102.68.67.255,22,255.255.252.0,1024
102.68.71.0/24,102.68.71.0,102.68.71.255,24,255.255.255.0,256
102.69.164.0/22,102.69.164.0,102.69.167.255,22,255.255.252.0,1024
102.165.191.0/24,102.165.191.0,102.165.191.255,24,255.255.255.0,256
102.177.80.0/21,102.177.80.0,102.177.87.255,21,255.255.248.0,2048
102.210.44.0/22,102.210.44.0,102.210.47.255,22,255.255.252.0,1024
102.210.84.0/22,102.210.84.0,102.210.87.255,22,255.255.252.0,1024
102.210.180.0/22,102.210.180.0,102.210.183.255,22,255.255.252.0,1024
102.210.200.0/22,102.210.200.0,102.210.203.255,22,255.255.252.0,1024
102.211.32.0/22,102.211.32.0,102.211.35.255,22,255.255.252.0,1024
102.211.68.0/22,102.211.68.0,102.211.71.255,22,255.255.252.0,1024
102.211.88.0/22,102.211.88.0,102.211.91.255,22,255.255.252.0,1024
102.211.120.0/24,102.211.120.0,102.211.120.255,24,255.255.255.0,256
102.211.196.0/23,102.211.196.0,102.211.197.255,23,255.255.254.0,512
102.211.248.0/22,102.211.248.0,102.211.251.255,22,255.255.252.0,1024
102.212.82.0/23,102.212.82.0,102.212.83.255,23,255.255.254.0,512
102.212.108.0/22,102.212.108.0,102.212.111.255,22,255.255.252.0,1024
102.212.112.0/21,102.212.112.0,102.212.119.255,21,255.255.248.0,2048
102.213.16.0/23,102.213.16.0,102.213.17.255,23,255.255.254.0,512
102.213.36.0/22,102.213.36.0,102.213.39.255,22,255.255.252.0,1024
102.213.55.0/24,102.213.55.0,102.213.55.255,24,255.255.255.0,256
102.214.28.0/22,102.214.28.0,102.214.31.255,22,255.255.252.0,1024
102.214.32.0/22,102.214.32.0,102.214.35.255,22,255.255.252.0,1024
102.214.44.0/22,102.214.44.0,102.214.47.255,22,255.255.252.0,1024
102.214.48.0/22,102.214.48.0,102.214.51.255,22,255.255.252.0,1024
102.214.142.0/24,102.214.142.0,102.214.142.255,24,255.255.255.0,256
102.215.28.0/22,102.215.28.0,102.215.31.255,22,255.255.252.0,1024
102.215.148.0/22,102.215.148.0,102.215.151.255,22,255.255.252.0,1024
102.215.160.0/22,102.215.160.0,102.215.163.255,22,255.255.252.0,1024
102.216.25.0/24,102.216.25.0,102.216.25.255,24,255.255.255.0,256
102.216.60.0/22,102.216.60.0,102.216.63.255,22,255.255.252.0,1024
102.216.130.0/24,102.216.130.0,102.216.130.255,24,255.255.255.0,256
102.216.172.0/22,102.216.172.0,102.216.175.255,22,255.255.252.0,1024
102.216.244.0/22,102.216.244.0,102.216.247.255,22,255.255.252.0,1024
102.217.72.0/22,102.217.72.0,102.217.75.255,22,255.255.252.0,1024
102.217.80.0/22,102.217.80.0,102.217.83.255,22,255.255.252.0,1024
102.217.211.0/24,102.217.211.0,102.217.211.255,24,255.255.255.0,256
102.218.28.0/22,102.218.28.0,102.218.31.255,22,255.255.252.0,1024
102.218.72.0/22,102.218.72.0,102.218.75.255,22,255.255.252.0,1024
102.218.144.0/22,102.218.144.0,102.218.147.255,22,255.255.252.0,1024
102.218.244.0/22,102.218.244.0,102.218.247.255,22,255.255.252.0,1024
102.219.28.0/24,102.219.28.0,102.219.28.255,24,255.255.255.0,256
102.219.83.0/24,102.219.83.0,102.219.83.255,24,255.255.255.0,256
102.219.120.0/22,102.219.120.0,102.219.123.255,22,255.255.252.0,1024
102.219.172.0/24,102.219.172.0,102.219.172.255,24,255.255.255.0,256
102.219.204.0/23,102.219.204.0,102.219.205.255,23,255.255.254.0,512
102.219.216.0/22,102.219.216.0,102.219.219.255,22,255.255.252.0,1024
102.220.72.0/22,102.220.72.0,102.220.75.255,22,255.255.252.0,1024
102.220.128.0/23,102.220.128.0,102.220.129.255,23,255.255.254.0,512
102.220.184.0/22,102.220.184.0,102.220.187.255,22,255.255.252.0,1024
102.221.20.0/22,102.221.20.0,102.221.23.255,22,255.255.252.0,1024
102.221.117.0/24,102.221.117.0,102.221.117.255,24,255.255.255.0,256
102.222.27.0/24,102.222.27.0,102.222.27.255,24,255.255.255.0,256
102.222.84.0/22,102.222.84.0,102.222.87.255,22,255.255.252.0,1024
102.223.0.0/24,102.223.0.0,102.223.0.255,24,255.255.255.0,256
102.223.7.0/24,102.223.7.0,102.223.7.255,24,255.255.255.0,256
102.223.8.0/22,102.223.8.0,102.223.11.255,22,255.255.252.0,1024
102.223.16.0/22,102.223.16.0,102.223.19.255,22,255.255.252.0,1024
154.0.152.0/21,154.0.152.0,154.0.159.255,21,255.255.248.0,2048
154.66.224.0/22,154.66.224.0,154.66.227.255,22,255.255.252.0,1024
154.72.20.0/22,154.72.20.0,154.72.23.255,22,255.255.252.0,1024
154.72.64.0/19,154.72.64.0,154.72.95.255,19,255.255.224.0,8192
154.73.64.0/22,154.73.64.0,154.73.67.255,22,255.255.252.0,1024
154.73.168.0/22,154.73.168.0,154.73.171.255,22,255.255.252.0,1024
154.74.0.0/15,154.74.0.0,154.75.255.255,15,255.254.0.0,131072
154.118.224.0/21,154.118.224.0,154.118.231.255,21,255.255.248.0,2048
154.126.224.0/19,154.126.224.0,154.126.255.255,19,255.255.224.0,8192
154.127.0.0/19,154.127.0.0,154.127.31.255,19,255.255.224.0,8192
155.12.0.0/17,155.12.0.0,155.12.127.255,17,255.255.128.0,32768
156.156.0.0/14,156.156.0.0,156.159.255.255,14,255.252.0.0,262144
165.16.192.0/21,165.16.192.0,165.16.199.255,21,255.255.248.0,2048
169.239.0.0/22,169.239.0.0,169.239.3.255,22,255.255.252.0,1024
169.255.48.0/22,169.255.48.0,169.255.51.255,22,255.255.252.0,1024
169.255.112.0/22,169.255.112.0,169.255.115.255,22,255.255.252.0,1024
169.255.184.0/22,169.255.184.0,169.255.187.255,22,255.255.252.0,1024
192.231.237.0/24,192.231.237.0,192.231.237.255,24,255.255.255.0,256
196.6.196.0/23,196.6.196.0,196.6.197.255,23,255.255.254.0,512
196.6.227.0/24,196.6.227.0,196.6.227.255,24,255.255.255.0,256
196.11.255.0/24,196.11.255.0,196.11.255.255,24,255.255.255.0,256
196.13.105.0/24,196.13.105.0,196.13.105.255,24,255.255.255.0,256
196.13.133.0/24,196.13.133.0,196.13.133.255,24,255.255.255.0,256
196.13.186.0/24,196.13.186.0,196.13.186.255,24,255.255.255.0,256
196.29.48.0/21,196.29.48.0,196.29.55.255,21,255.255.248.0,2048
196.32.240.0/21,196.32.240.0,196.32.247.255,21,255.255.248.0,2048
196.41.32.0/19,196.41.32.0,196.41.63.255,19,255.255.224.0,8192
196.41.76.0/24,196.41.76.0,196.41.76.255,24,255.255.255.0,256
196.41.86.0/24,196.41.86.0,196.41.86.255,24,255.255.255.0,256
196.43.64.0/19,196.43.64.0,196.43.95.255,19,255.255.224.0,8192
196.43.221.0/24,196.43.221.0,196.43.221.255,24,255.255.255.0,256
196.43.230.0/24,196.43.230.0,196.43.230.255,24,255.255.255.0,256
196.44.160.0/20,196.44.160.0,196.44.175.255,20,255.255.240.0,4096
196.45.32.0/20,196.45.32.0,196.45.47.255,20,255.255.240.0,4096
196.45.128.0/19,196.45.128.0,196.45.159.255,19,255.255.224.0,8192
196.45.184.0/22,196.45.184.0,196.45.187.255,22,255.255.252.0,1024
196.46.96.0/20,196.46.96.0,196.46.111.255,20,255.255.240.0,4096
196.46.120.0/22,196.46.120.0,196.46.123.255,22,255.255.252.0,1024
196.46.128.0/21,196.46.128.0,196.46.135.255,21,255.255.248.0,2048
196.49.5.0/24,196.49.5.0,196.49.5.255,24,255.255.255.0,256
196.49.12.0/24,196.49.12.0,196.49.12.255,24,255.255.255.0,256
196.49.20.0/24,196.49.20.0,196.49.20.255,24,255.255.255.0,256
196.49.50.0/24,196.49.50.0,196.49.50.255,24,255.255.255.0,256
196.49.52.0/24,196.49.52.0,196.49.52.255,24,255.255.255.0,256
196.49.54.0/24,196.49.54.0,196.49.54.255,24,255.255.255.0,256
196.50.20.0/24,196.50.20.0,196.50.20.255,24,255.255.255.0,256
196.60.0.0/24,196.60.0.0,196.60.0.255,24,255.255.255.0,256
196.60.48.0/24,196.60.48.0,196.60.48.255,24,255.255.255.0,256
196.60.50.0/24,196.60.50.0,196.60.50.255,24,255.255.255.0,256
196.60.52.0/24,196.60.52.0,196.60.52.255,24,255.255.255.0,256
196.61.8.0/21,196.61.8.0,196.61.15.255,21,255.255.248.0,2048
196.192.72.0/21,196.192.72.0,196.192.79.255,21,255.255.248.0,2048
196.200.224.0/20,196.200.224.0,196.200.239.255,20,255.255.240.0,4096
196.216.162.0/24,196.216.162.0,196.216.162.255,24,255.255.255.0,256
196.216.218.0/23,196.216.218.0,196.216.219.255,23,255.255.254.0,512
196.216.234.0/23,196.216.234.0,196.216.235.255,23,255.255.254.0,512
196.216.247.0/24,196.216.247.0,196.216.247.255,24,255.255.255.0,256
196.223.5.0/24,196.223.5.0,196.223.5.255,24,255.255.255.0,256
196.223.6.0/24,196.223.6.0,196.223.6.255,24,255.255.255.0,256
196.249.64.0/18,196.249.64.0,196.249.127.255,18,255.255.192.0,16384
197.149.176.0/22,197.149.176.0,197.149.179.255,22,255.255.252.0,1024
197.152.0.0/16,197.152.0.0,197.152.255.255,16,255.255.0.0,65536
197.186.0.0/15,197.186.0.0,197.187.255.255,15,255.254.0.0,131072
197.215.240.0/20,197.215.240.0,197.215.255.255,20,255.255.240.0,4096
197.221.192.0/19,197.221.192.0,197.221.223.255,19,255.255.224.0,8192
197.234.224.0/22,197.234.224.0,197.234.227.255,22,255.255.252.0,1024
197.242.192.0/21,197.242.192.0,197.242.199.255,21,255.255.248.0,2048
197.250.0.0/16,197.250.0.0,197.250.255.255,16,255.255.0.0,65536
