# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.75.160.0/19,41.75.160.0,41.75.191.255,19,255.255.224.0,8192
41.77.72.0/21,41.77.72.0,41.77.79.255,21,255.255.248.0,2048
41.84.192.0/19,41.84.192.0,41.84.223.255,19,255.255.224.0,8192
41.191.76.0/22,41.191.76.0,41.191.79.255,22,255.255.252.0,1024
41.202.224.0/19,41.202.224.0,41.202.255.255,19,255.255.224.0,8192
41.210.128.0/18,41.210.128.0,41.210.191.255,18,255.255.192.0,16384
41.217.232.0/21,41.217.232.0,41.217.239.255,21,255.255.248.0,2048
41.220.0.0/20,41.220.0.0,41.220.15.255,20,255.255.240.0,4096
41.220.208.0/20,41.220.208.0,41.220.223.255,20,255.255.240.0,4096
41.221.80.0/20,41.221.80.0,41.221.95.255,20,255.255.240.0,4096
41.223.84.0/22,41.223.84.0,41.223.87.255,22,255.255.252.0,1024
45.221.8.0/22,45.221.8.0,45.221.11.255,22,255.255.252.0,1024
45.221.72.0/21,45.221.72.0,45.221.79.255,21,255.255.248.0,2048
80.88.2.0/24,80.88.2.0,80.88.2.255,24,255.255.255.0,256
102.34.0.0/16,102.34.0.0,102.34.255.255,16,255.255.0.0,65536
102.36.216.0/21,102.36.216.0,102.36.223.255,21,255.255.248.0,2048
102.68.124.0/24,102.68.124.0,102.68.124.255,24,255.255.255.0,256
102.68.172.0/22,102.68.172.0,102.68.175.255,22,255.255.252.0,1024
102.80.0.0/13,102.80.0.0,102.87.255.255,13,255.248.0.0,524288
102.134.140.0/22,102.134.140.0,102.134.143.255,22,255.255.252.0,1024
102.134.144.0/21,102.134.144.0,102.134.151.255,21,255.255.248.0,2048
102.164.120.0/24,102.164.120.0,102.164.120.255,24,255.255.255.0,256
102.203.176.0/22,102.203.176.0,102.203.179.255,22,255.255.252.0,1024
102.203.193.0/24,102.203.193.0,102.203.193.255,24,255.255.255.0,256
102.203.208.0/22,102.203.208.0,102.203.211.255,22,255.255.252.0,1024
102.204.15.0/24,102.204.15.0,102.204.15.255,24,255.255.255.0,256
102.204.160.0/22,102.204.160.0,102.204.163.255,22,255.255.252.0,1024
102.204.172.0/22,102.204.172.0,102.204.175.255,22,255.255.252.0,1024
102.205.128.0/23,102.205.128.0,102.205.129.255,23,255.255.254.0,512
102.205.207.0/24,102.205.207.0,102.205.207.255,24,255.255.255.0,256
102.205.244.0/22,102.205.244.0,102.205.247.255,22,255.255.252.0,1024
102.206.128.0/22,102.206.128.0,102.206.131.255,22,255.255.252.0,1024
102.207.108.0/22,102.207.108.0,102.207.111.255,22,255.255.252.0,1024
102.207.221.0/24,102.207.221.0,102.207.221.255,24,255.255.255.0,256
102.208.68.0/22,102.208.68.0,102.208.71.255,22,255.255.252.0,1024
102.208.84.0/22,102.208.84.0,102.208.87.255,22,255.255.252.0,1024
102.209.108.0/22,102.209.108.0,102.209.111.255,22,255.255.252.0,1024
102.209.128.0/22,102.209.128.0,102.209.131.255,22,255.255.252.0,1024
102.209.200.0/22,102.209.200.0,102.209.203.255,22,255.255.252.0,1024
102.209.239.0/24,102.209.239.0,102.209.239.255,24,255.255.255.0,256
102.210.108.0/22,102.210.108.0,102.210.111.255,22,255.255.252.0,1024
102.210.159.0/24,102.210.159.0,102.210.159.255,24,255.255.255.0,256
102.211.60.0/22,102.211.60.0,102.211.63.255,22,255.255.252.0,1024
102.211.168.0/22,102.211.168.0,102.211.171.255,22,255.255.252.0,1024
102.213.192.0/22,102.213.192.0,102.213.195.255,22,255.255.252.0,1024
102.214.148.0/22,102.214.148.0,102.214.151.255,22,255.255.252.0,1024
102.214.190.0/24,102.214.190.0,102.214.190.255,24,255.255.255.0,256
102.215.44.0/22,102.215.44.0,102.215.47.255,22,255.255.252.0,1024
102.215.94.0/24,102.215.94.0,102.215.94.255,24,255.255.255.0,256
102.215.108.0/22,102.215.108.0,102.215.111.255,22,255.255.252.0,1024
102.215.164.0/22,102.215.164.0,102.215.167.255,22,255.255.252.0,1024
102.216.144.0/21,102.216.144.0,102.216.151.255,21,255.255.248.0,2048
102.217.52.0/23,102.217.52.0,102.217.53.255,23,255.255.254.0,512
102.217.56.0/22,102.217.56.0,102.217.59.255,22,255.255.252.0,1024
102.217.209.0/24,102.217.209.0,102.217.209.255,24,255.255.255.0,256
102.218.36.0/22,102.218.36.0,102.218.39.255,22,255.255.252.0,1024
102.218.88.0/22,102.218.88.0,102.218.91.255,22,255.255.252.0,1024
102.218.108.0/22,102.218.108.0,102.218.111.255,22,255.255.252.0,1024
102.219.72.0/23,102.219.72.0,102.219.73.255,23,255.255.254.0,512
102.219.100.0/22,102.219.100.0,102.219.103.255,22,255.255.252.0,1024
102.220.21.0/24,102.220.21.0,102.220.21.255,24,255.255.255.0,256
102.220.92.0/22,102.220.92.0,102.220.95.255,22,255.255.252.0,1024
102.220.156.0/23,102.220.156.0,102.220.157.255,23,255.255.254.0,512
102.220.200.0/22,102.220.200.0,102.220.203.255,22,255.255.252.0,1024
102.222.68.0/22,102.222.68.0,102.222.71.255,22,255.255.252.0,1024
102.222.74.0/23,102.222.74.0,102.222.75.255,23,255.255.254.0,512
102.222.152.0/22,102.222.152.0,102.222.155.255,22,255.255.252.0,1024
102.222.232.0/22,102.222.232.0,102.222.235.255,22,255.255.252.0,1024
102.223.88.0/22,102.223.88.0,102.223.91.255,22,255.255.252.0,1024
102.223.216.0/22,102.223.216.0,102.223.219.255,22,255.255.252.0,1024
102.223.248.0/24,102.223.248.0,102.223.248.255,24,255.255.255.0,256
129.205.0.0/19,129.205.0.0,129.205.31.255,19,255.255.224.0,8192
137.63.128.0/17,137.63.128.0,137.63.255.255,17,255.255.128.0,32768
154.0.128.0/20,154.0.128.0,154.0.143.255,20,255.255.240.0,4096
154.66.216.0/22,154.66.216.0,154.66.219.255,22,255.255.252.0,1024
154.72.16.0/22,154.72.16.0,154.72.19.255,22,255.255.252.0,1024
154.72.192.0/19,154.72.192.0,154.72.223.255,19,255.255.224.0,8192
154.224.0.0/13,154.224.0.0,154.231.255.255,13,255.248.0.0,524288
160.119.148.0/22,160.119.148.0,160.119.151.255,22,255.255.252.0,1024
164.160.4.0/22,164.160.4.0,164.160.7.255,22,255.255.252.0,1024
193.108.214.0/24,193.108.214.0,193.108.214.255,24,255.255.255.0,256
193.108.252.0/22,193.108.252.0,193.108.255.255,22,255.255.252.0,1024
196.0.0.0/16,196.0.0.0,196.0.255.255,16,255.255.0.0,65536
196.10.119.0/24,196.10.119.0,196.10.119.255,24,255.255.255.0,256
196.10.138.0/23,196.10.138.0,196.10.139.255,23,255.255.254.0,512
196.10.228.0/24,196.10.228.0,196.10.228.255,24,255.255.255.0,256
196.13.122.0/24,196.13.122.0,196.13.122.255,24,255.255.255.0,256
196.43.128.0/18,196.43.128.0,196.43.191.255,18,255.255.192.0,16384
196.43.226.0/24,196.43.226.0,196.43.226.255,24,255.255.255.0,256
196.49.15.0/24,196.49.15.0,196.49.15.255,24,255.255.255.0,256
196.49.82.0/24,196.49.82.0,196.49.82.255,24,255.255.255.0,256
196.49.122.0/24,196.49.122.0,196.49.122.255,24,255.255.255.0,256
196.60.82.0/24,196.60.82.0,196.60.82.255,24,255.255.255.0,256
196.60.164.0/24,196.60.164.0,196.60.164.255,24,255.255.255.0,256
196.216.176.0/22,196.216.176.0,196.216.179.255,22,255.255.252.0,1024
196.223.25.0/24,196.223.25.0,196.223.25.255,24,255.255.255.0,256
197.157.0.0/18,197.157.0.0,197.157.63.255,18,255.255.192.0,16384
197.221.128.0/19,197.221.128.0,197.221.159.255,19,255.255.224.0,8192
197.239.0.0/18,197.239.0.0,197.239.63.255,18,255.255.192.0,16384
212.88.96.0/19,212.88.96.0,212.88.127.255,19,255.255.224.0,8192
216.104.192.0/20,216.104.192.0,216.104.207.255,20,255.255.240.0,4096
