# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.6.248.0/21,45.6.248.0,45.6.255.255,21,255.255.248.0,2048
45.228.64.0/23,45.228.64.0,45.228.65.255,23,255.255.254.0,512
69.164.80.0/24,69.164.80.0,69.164.80.255,24,255.255.255.0,256
69.164.91.0/24,69.164.91.0,69.164.91.255,24,255.255.255.0,256
69.164.98.0/24,69.164.98.0,69.164.98.255,24,255.255.255.0,256
131.0.212.0/22,131.0.212.0,131.0.215.255,22,255.255.252.0,1024
138.59.12.0/22,138.59.12.0,138.59.15.255,22,255.255.252.0,1024
138.99.44.0/22,138.99.44.0,138.99.47.255,22,255.255.252.0,1024
152.156.0.0/16,152.156.0.0,152.156.255.255,16,255.255.0.0,65536
161.0.120.0/21,161.0.120.0,161.0.127.255,21,255.255.248.0,2048
164.73.0.0/16,164.73.0.0,164.73.255.255,16,255.255.0.0,65536
167.56.0.0/13,167.56.0.0,167.63.255.255,13,255.248.0.0,524288
167.108.0.0/16,167.108.0.0,167.108.255.255,16,255.255.0.0,65536
167.116.0.0/16,167.116.0.0,167.116.255.255,16,255.255.0.0,65536
168.121.184.0/22,168.121.184.0,168.121.187.255,22,255.255.252.0,1024
170.247.168.0/22,170.247.168.0,170.247.171.255,22,255.255.252.0,1024
179.0.156.0/22,179.0.156.0,179.0.159.255,22,255.255.252.0,1024
179.24.0.0/13,179.24.0.0,179.31.255.255,13,255.248.0.0,524288
181.103.64.0/19,181.103.64.0,181.103.95.255,19,255.255.224.0,8192
181.224.164.0/23,181.224.164.0,181.224.165.255,23,255.255.254.0,512
186.8.0.0/16,186.8.0.0,186.8.255.255,16,255.255.0.0,65536
186.48.0.0/13,186.48.0.0,186.55.255.255,13,255.248.0.0,524288
190.0.128.0/19,190.0.128.0,190.0.159.255,19,255.255.224.0,8192
190.64.0.0/16,190.64.0.0,190.64.255.255,16,255.255.0.0,65536
190.99.96.0/20,190.99.96.0,190.99.111.255,20,255.255.240.0,4096
190.108.0.0/19,190.108.0.0,190.108.31.255,19,255.255.224.0,8192
190.110.245.0/24,190.110.245.0,190.110.245.255,24,255.255.255.0,256
190.112.52.0/22,190.112.52.0,190.112.55.255,22,255.255.252.0,1024
190.112.192.0/22,190.112.192.0,190.112.195.255,22,255.255.252.0,1024
190.112.200.0/22,190.112.200.0,190.112.203.255,22,255.255.252.0,1024
190.132.0.0/14,190.132.0.0,190.135.255.255,14,255.252.0.0,262144
192.146.237.0/24,192.146.237.0,192.146.237.255,24,255.255.255.0,256
200.0.68.0/23,200.0.68.0,200.0.69.255,23,255.255.254.0,512
200.0.86.0/23,200.0.86.0,200.0.87.255,23,255.255.254.0,512
200.0.88.0/24,200.0.88.0,200.0.88.255,24,255.255.255.0,256
200.0.204.0/22,200.0.204.0,200.0.207.255,22,255.255.252.0,1024
200.2.32.0/19,200.2.32.0,200.2.63.255,19,255.255.224.0,8192
200.3.12.0/22,200.3.12.0,200.3.15.255,22,255.255.252.0,1024
200.7.84.0/22,200.7.84.0,200.7.87.255,22,255.255.252.0,1024
200.10.60.0/22,200.10.60.0,200.10.63.255,22,255.255.252.0,1024
200.12.155.0/24,200.12.155.0,200.12.155.255,24,255.255.255.0,256
200.12.156.0/24,200.12.156.0,200.12.156.255,24,255.255.255.0,256
200.35.152.0/22,200.35.152.0,200.35.155.255,22,255.255.252.0,1024
200.40.0.0/16,200.40.0.0,200.40.255.255,16,255.255.0.0,65536
200.58.128.0/19,200.58.128.0,200.58.159.255,19,255.255.224.0,8192
200.71.0.0/19,200.71.0.0,200.71.31.255,19,255.255.224.0,8192
200.90.152.0/23,200.90.152.0,200.90.153.255,23,255.255.254.0,512
200.90.154.0/24,200.90.154.0,200.90.154.255,24,255.255.255.0,256
200.93.240.0/21,200.93.240.0,200.93.247.255,21,255.255.248.0,2048
200.108.192.0/18,200.108.192.0,200.108.255.255,18,255.255.192.0,16384
200.115.72.0/21,200.115.72.0,200.115.79.255,21,255.255.248.0,2048
200.124.192.0/19,200.124.192.0,200.124.223.255,19,255.255.224.0,8192
200.125.0.0/18,200.125.0.0,200.125.63.255,18,255.255.192.0,16384
201.217.128.0/18,201.217.128.0,201.217.191.255,18,255.255.192.0,16384
201.219.224.0/21,201.219.224.0,201.219.231.255,21,255.255.248.0,2048
201.219.252.0/22,201.219.252.0,201.219.255.255,22,255.255.252.0,1024
201.221.0.0/18,201.221.0.0,201.221.63.255,18,255.255.192.0,16384
