# CIDR,network(start) address,end address,prefix,subnet mask
5.133.120.0/22,5.133.120.0,5.133.123.255,22,255.255.252.0
31.40.24.0/21,31.40.24.0,31.40.31.255,21,255.255.248.0
31.135.208.0/21,31.135.208.0,31.135.215.255,21,255.255.248.0
37.110.208.0/21,37.110.208.0,37.110.215.255,21,255.255.248.0
45.9.228.0/22,45.9.228.0,45.9.231.255,22,255.255.252.0
45.91.220.0/22,45.91.220.0,45.91.223.255,22,255.255.252.0
45.150.24.0/22,45.150.24.0,45.150.27.255,22,255.255.252.0
45.153.60.0/22,45.153.60.0,45.153.63.255,22,255.255.252.0
45.153.64.0/22,45.153.64.0,45.153.67.255,22,255.255.252.0
46.227.120.0/21,46.227.120.0,46.227.127.255,21,255.255.248.0
46.255.64.0/21,46.255.64.0,46.255.71.255,21,255.255.248.0
62.209.128.0/19,62.209.128.0,62.209.159.255,19,255.255.224.0
80.80.208.0/20,80.80.208.0,80.80.223.255,20,255.255.240.0
81.95.224.0/20,81.95.224.0,81.95.239.255,20,255.255.240.0
82.215.66.0/23,82.215.66.0,82.215.67.255,23,255.255.254.0
82.215.68.0/23,82.215.68.0,82.215.69.255,23,255.255.254.0
82.215.72.0/22,82.215.72.0,82.215.75.255,22,255.255.252.0
82.215.77.0/24,82.215.77.0,82.215.77.255,24,255.255.255.0
82.215.78.0/23,82.215.78.0,82.215.79.255,23,255.255.254.0
82.215.80.0/22,82.215.80.0,82.215.83.255,22,255.255.252.0
82.215.85.0/24,82.215.85.0,82.215.85.255,24,255.255.255.0
82.215.86.0/23,82.215.86.0,82.215.87.255,23,255.255.254.0
82.215.88.0/21,82.215.88.0,82.215.95.255,21,255.255.248.0
82.215.96.0/19,82.215.96.0,82.215.127.255,19,255.255.224.0
83.69.128.0/19,83.69.128.0,83.69.159.255,19,255.255.224.0
83.221.160.0/19,83.221.160.0,83.221.191.255,19,255.255.224.0
83.222.6.0/23,83.222.6.0,83.222.7.255,23,255.255.254.0
84.54.64.0/18,84.54.64.0,84.54.127.255,18,255.255.192.0
86.62.0.0/22,86.62.0.0,86.62.3.255,22,255.255.252.0
87.237.232.0/21,87.237.232.0,87.237.239.255,21,255.255.248.0
89.104.102.0/24,89.104.102.0,89.104.102.255,24,255.255.255.0
89.146.64.0/18,89.146.64.0,89.146.127.255,18,255.255.192.0
89.223.3.0/24,89.223.3.0,89.223.3.255,24,255.255.255.0
89.236.192.0/18,89.236.192.0,89.236.255.255,18,255.255.192.0
