# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
23.170.80.0/24,23.170.80.0,23.170.80.255,24,255.255.255.0,256
45.42.232.0/22,45.42.232.0,45.42.235.255,22,255.255.252.0,1024
104.219.24.0/22,104.219.24.0,104.219.27.255,22,255.255.252.0,1024
104.255.232.0/22,104.255.232.0,104.255.235.255,22,255.255.252.0,1024
162.212.210.0/23,162.212.210.0,162.212.211.255,23,255.255.254.0,512
192.58.140.0/23,192.58.140.0,192.58.141.255,23,255.255.254.0,512
199.192.224.0/23,199.192.224.0,199.192.225.255,23,255.255.254.0,512
204.13.240.0/22,204.13.240.0,204.13.243.255,22,255.255.252.0,1024
206.83.47.0/24,206.83.47.0,206.83.47.255,24,255.255.255.0,256
207.191.240.0/21,207.191.240.0,207.191.247.255,21,255.255.248.0,2048
208.84.200.0/21,208.84.200.0,208.84.207.255,21,255.255.248.0,2048
