# CIDR,network(start) address,end address,prefix,subnet mask
45.7.140.0/22,45.7.140.0,45.7.143.255,22,255.255.252.0
45.160.224.0/22,45.160.224.0,45.160.227.255,22,255.255.252.0
45.166.16.0/22,45.166.16.0,45.166.19.255,22,255.255.252.0
45.168.174.0/23,45.168.174.0,45.168.175.255,23,255.255.254.0
45.169.140.0/22,45.169.140.0,45.169.143.255,22,255.255.252.0
45.170.110.0/23,45.170.110.0,45.170.111.255,23,255.255.254.0
45.173.196.0/22,45.173.196.0,45.173.199.255,22,255.255.252.0
45.173.204.0/22,45.173.204.0,45.173.207.255,22,255.255.252.0
45.174.8.0/24,45.174.8.0,45.174.8.255,24,255.255.255.0
45.175.22.0/24,45.175.22.0,45.175.22.255,24,255.255.255.0
45.175.36.0/22,45.175.36.0,45.175.39.255,22,255.255.252.0
45.175.212.0/22,45.175.212.0,45.175.215.255,22,255.255.252.0
45.178.164.0/22,45.178.164.0,45.178.167.255,22,255.255.252.0
45.179.12.0/22,45.179.12.0,45.179.15.255,22,255.255.252.0
45.179.164.0/22,45.179.164.0,45.179.167.255,22,255.255.252.0
45.181.77.0/24,45.181.77.0,45.181.77.255,24,255.255.255.0
45.181.124.0/22,45.181.124.0,45.181.127.255,22,255.255.252.0
45.181.224.0/22,45.181.224.0,45.181.227.255,22,255.255.252.0
45.181.248.0/22,45.181.248.0,45.181.251.255,22,255.255.252.0
45.182.140.0/23,45.182.140.0,45.182.141.255,23,255.255.254.0
45.183.42.0/23,45.183.42.0,45.183.43.255,23,255.255.254.0
45.184.103.0/24,45.184.103.0,45.184.103.255,24,255.255.255.0
45.184.248.0/22,45.184.248.0,45.184.251.255,22,255.255.252.0
45.185.16.0/22,45.185.16.0,45.185.19.255,22,255.255.252.0
45.185.148.0/24,45.185.148.0,45.185.148.255,24,255.255.255.0
45.185.184.0/23,45.185.184.0,45.185.185.255,23,255.255.254.0
45.186.144.0/22,45.186.144.0,45.186.147.255,22,255.255.252.0
45.186.200.0/22,45.186.200.0,45.186.203.255,22,255.255.252.0
45.186.208.0/22,45.186.208.0,45.186.211.255,22,255.255.252.0
45.187.4.0/22,45.187.4.0,45.187.7.255,22,255.255.252.0
45.187.92.0/22,45.187.92.0,45.187.95.255,22,255.255.252.0
45.189.36.0/22,45.189.36.0,45.189.39.255,22,255.255.252.0
45.189.234.0/24,45.189.234.0,45.189.234.255,24,255.255.255.0
45.190.84.0/23,45.190.84.0,45.190.85.255,23,255.255.254.0
45.190.124.0/22,45.190.124.0,45.190.127.255,22,255.255.252.0
45.190.168.0/23,45.190.168.0,45.190.169.255,23,255.255.254.0
45.230.44.0/22,45.230.44.0,45.230.47.255,22,255.255.252.0
45.230.168.0/22,45.230.168.0,45.230.171.255,22,255.255.252.0
45.234.60.0/22,45.234.60.0,45.234.63.255,22,255.255.252.0
45.236.28.0/22,45.236.28.0,45.236.31.255,22,255.255.252.0
45.236.120.0/24,45.236.120.0,45.236.120.255,24,255.255.255.0
129.90.0.0/16,129.90.0.0,129.90.255.255,16,255.255.0.0
131.72.168.0/22,131.72.168.0,131.72.171.255,22,255.255.252.0
131.221.112.0/22,131.221.112.0,131.221.115.255,22,255.255.252.0
131.255.104.0/22,131.255.104.0,131.255.107.255,22,255.255.252.0
138.59.8.0/22,138.59.8.0,138.59.11.255,22,255.255.252.0
