# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.144.0/22,2.56.144.0,2.56.147.255,22,255.255.252.0,1024
5.35.168.0/21,5.35.168.0,5.35.175.255,21,255.255.248.0,2048
23.130.224.0/24,23.130.224.0,23.130.224.255,24,255.255.255.0,256
23.136.96.0/24,23.136.96.0,23.136.96.255,24,255.255.255.0,256
23.137.112.0/24,23.137.112.0,23.137.112.255,24,255.255.255.0,256
23.166.232.0/24,23.166.232.0,23.166.232.255,24,255.255.255.0,256
23.189.176.0/24,23.189.176.0,23.189.176.255,24,255.255.255.0,256
31.14.25.0/24,31.14.25.0,31.14.25.255,24,255.255.255.0,256
45.8.176.0/22,45.8.176.0,45.8.179.255,22,255.255.252.0,1024
45.12.32.0/22,45.12.32.0,45.12.35.255,22,255.255.252.0,1024
45.83.120.0/22,45.83.120.0,45.83.123.255,22,255.255.252.0,1024
45.88.0.0/22,45.88.0.0,45.88.3.255,22,255.255.252.0,1024
45.133.200.0/22,45.133.200.0,45.133.203.255,22,255.255.252.0,1024
45.142.0.0/22,45.142.0.0,45.142.3.255,22,255.255.252.0,1024
45.143.12.0/22,45.143.12.0,45.143.15.255,22,255.255.252.0,1024
45.148.144.0/22,45.148.144.0,45.148.147.255,22,255.255.252.0,1024
45.159.92.0/22,45.159.92.0,45.159.95.255,22,255.255.252.0,1024
45.253.248.0/21,45.253.248.0,45.253.255.255,21,255.255.248.0,2048
46.17.72.0/21,46.17.72.0,46.17.79.255,21,255.255.248.0,2048
46.243.0.0/21,46.243.0.0,46.243.7.255,21,255.255.248.0,2048
66.81.192.0/20,66.81.192.0,66.81.207.255,20,255.255.240.0,4096
68.65.216.0/23,68.65.216.0,68.65.217.255,23,255.255.254.0,512
72.46.24.0/22,72.46.24.0,72.46.27.255,22,255.255.252.0,1024
74.113.104.0/22,74.113.104.0,74.113.107.255,22,255.255.252.0,1024
89.36.173.0/24,89.36.173.0,89.36.173.255,24,255.255.255.0,256
89.36.174.0/24,89.36.174.0,89.36.174.255,24,255.255.255.0,256
89.38.152.0/23,89.38.152.0,89.38.153.255,23,255.255.254.0,512
89.38.154.0/24,89.38.154.0,89.38.154.255,24,255.255.255.0,256
89.38.232.0/23,89.38.232.0,89.38.233.255,23,255.255.254.0,512
89.40.96.0/22,89.40.96.0,89.40.99.255,22,255.255.252.0,1024
89.42.160.0/22,89.42.160.0,89.42.163.255,22,255.255.252.0,1024
89.44.80.0/23,89.44.80.0,89.44.81.255,23,255.255.254.0,512
89.44.83.0/24,89.44.83.0,89.44.83.255,24,255.255.255.0,256
89.44.84.0/22,89.44.84.0,89.44.87.255,22,255.255.252.0,1024
89.46.38.0/24,89.46.38.0,89.46.38.255,24,255.255.255.0,256
89.46.240.0/23,89.46.240.0,89.46.241.255,23,255.255.254.0,512
89.46.243.0/24,89.46.243.0,89.46.243.255,24,255.255.255.0,256
89.46.244.0/23,89.46.244.0,89.46.245.255,23,255.255.254.0,512
89.46.246.0/24,89.46.246.0,89.46.246.255,24,255.255.255.0,256
89.47.171.0/24,89.47.171.0,89.47.171.255,24,255.255.255.0,256
91.105.192.0/23,91.105.192.0,91.105.193.255,23,255.255.254.0,512
91.206.220.0/23,91.206.220.0,91.206.221.255,23,255.255.254.0,512
91.241.59.0/24,91.241.59.0,91.241.59.255,24,255.255.255.0,256
94.177.129.0/24,94.177.129.0,94.177.129.255,24,255.255.255.0,256
94.177.132.0/24,94.177.132.0,94.177.132.255,24,255.255.255.0,256
98.158.96.0/20,98.158.96.0,98.158.111.255,20,255.255.240.0,4096
103.92.130.0/24,103.92.130.0,103.92.130.255,24,255.255.255.0,256
103.144.140.0/23,103.144.140.0,103.144.141.255,23,255.255.254.0,512
104.254.96.0/23,104.254.96.0,104.254.97.255,23,255.255.254.0,512
104.254.124.0/22,104.254.124.0,104.254.127.255,22,255.255.252.0,1024
109.69.56.0/21,109.69.56.0,109.69.63.255,21,255.255.248.0,2048
109.206.224.0/22,109.206.224.0,109.206.227.255,22,255.255.252.0,1024
138.99.216.0/22,138.99.216.0,138.99.219.255,22,255.255.252.0,1024
141.8.224.0/21,141.8.224.0,141.8.231.255,21,255.255.248.0,2048
142.54.20.0/22,142.54.20.0,142.54.23.255,22,255.255.252.0,1024
161.199.207.0/24,161.199.207.0,161.199.207.255,24,255.255.255.0,256
161.199.208.0/24,161.199.208.0,161.199.208.255,24,255.255.255.0,256
162.210.68.0/23,162.210.68.0,162.210.69.255,23,255.255.254.0,512
162.218.24.0/22,162.218.24.0,162.218.27.255,22,255.255.252.0,1024
162.222.224.0/24,162.222.224.0,162.222.224.255,24,255.255.255.0,256
162.251.87.0/24,162.251.87.0,162.251.87.255,24,255.255.255.0,256
162.255.144.0/22,162.255.144.0,162.255.147.255,22,255.255.252.0,1024
170.39.24.0/22,170.39.24.0,170.39.27.255,22,255.255.252.0,1024
171.22.243.0/24,171.22.243.0,171.22.243.255,24,255.255.255.0,256
172.102.0.0/22,172.102.0.0,172.102.3.255,22,255.255.252.0,1024
185.23.152.0/22,185.23.152.0,185.23.155.255,22,255.255.252.0,1024
185.34.200.0/22,185.34.200.0,185.34.203.255,22,255.255.252.0,1024
185.76.151.0/24,185.76.151.0,185.76.151.255,24,255.255.255.0,256
185.94.84.0/22,185.94.84.0,185.94.87.255,22,255.255.252.0,1024
185.100.208.0/22,185.100.208.0,185.100.211.255,22,255.255.252.0,1024
185.142.132.0/22,185.142.132.0,185.142.135.255,22,255.255.252.0,1024
185.147.124.0/22,185.147.124.0,185.147.127.255,22,255.255.252.0,1024
185.168.112.0/22,185.168.112.0,185.168.115.255,22,255.255.252.0,1024
185.212.128.0/22,185.212.128.0,185.212.131.255,22,255.255.252.0,1024
185.213.180.0/22,185.213.180.0,185.213.183.255,22,255.255.252.0,1024
185.217.136.0/22,185.217.136.0,185.217.139.255,22,255.255.252.0,1024
185.224.216.0/22,185.224.216.0,185.224.219.255,22,255.255.252.0,1024
185.232.52.0/22,185.232.52.0,185.232.55.255,22,255.255.252.0,1024
185.238.0.0/22,185.238.0.0,185.238.3.255,22,255.255.252.0,1024
188.241.24.0/23,188.241.24.0,188.241.25.255,23,255.255.254.0,512
188.241.28.0/22,188.241.28.0,188.241.31.255,22,255.255.252.0,1024
193.37.232.0/22,193.37.232.0,193.37.235.255,22,255.255.252.0,1024
193.160.254.0/24,193.160.254.0,193.160.254.255,24,255.255.255.0,256
193.161.1.0/24,193.161.1.0,193.161.1.255,24,255.255.255.0,256
193.161.26.0/24,193.161.26.0,193.161.26.255,24,255.255.255.0,256
193.161.147.0/24,193.161.147.0,193.161.147.255,24,255.255.255.0,256
194.40.240.0/22,194.40.240.0,194.40.243.255,22,255.255.252.0,1024
195.14.99.0/24,195.14.99.0,195.14.99.255,24,255.255.255.0,256
195.39.238.0/24,195.39.238.0,195.39.238.255,24,255.255.255.0,256
195.42.248.0/24,195.42.248.0,195.42.248.255,24,255.255.255.0,256
195.43.128.0/24,195.43.128.0,195.43.128.255,24,255.255.255.0,256
195.43.147.0/24,195.43.147.0,195.43.147.255,24,255.255.255.0,256
195.226.211.0/24,195.226.211.0,195.226.211.255,24,255.255.255.0,256
195.242.110.0/23,195.242.110.0,195.242.111.255,23,255.255.254.0,512
195.242.118.0/23,195.242.118.0,195.242.119.255,23,255.255.254.0,512
199.79.60.0/23,199.79.60.0,199.79.61.255,23,255.255.254.0,512
199.91.96.0/21,199.91.96.0,199.91.103.255,21,255.255.248.0,2048
199.191.50.0/23,199.191.50.0,199.191.51.255,23,255.255.254.0,512
199.204.232.0/21,199.204.232.0,199.204.239.255,21,255.255.248.0,2048
203.24.102.0/23,203.24.102.0,203.24.103.255,23,255.255.254.0,512
203.29.52.0/24,203.29.52.0,203.29.52.255,24,255.255.255.0,256
203.32.120.0/23,203.32.120.0,203.32.121.255,23,255.255.254.0,512
203.34.28.0/24,203.34.28.0,203.34.28.255,24,255.255.255.0,256
203.34.80.0/24,203.34.80.0,203.34.80.255,24,255.255.255.0,256
203.55.107.0/24,203.55.107.0,203.55.107.255,24,255.255.255.0,256
204.11.56.0/23,204.11.56.0,204.11.57.255,23,255.255.254.0,512
206.71.15.0/24,206.71.15.0,206.71.15.255,24,255.255.255.0,256
