# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
23.143.120.0/24,23.143.120.0,23.143.120.255,24,255.255.255.0,256
66.59.216.0/24,66.59.216.0,66.59.216.255,24,255.255.255.0,256
66.248.160.0/19,66.248.160.0,66.248.191.255,19,255.255.224.0,8192
67.211.240.0/20,67.211.240.0,67.211.255.255,20,255.255.240.0,4096
98.142.160.0/20,98.142.160.0,98.142.175.255,20,255.255.240.0,4096
132.147.224.0/20,132.147.224.0,132.147.239.255,20,255.255.240.0,4096
136.143.195.0/24,136.143.195.0,136.143.195.255,24,255.255.255.0,256
146.226.0.0/16,146.226.0.0,146.226.255.255,16,255.255.0.0,65536
172.84.192.0/18,172.84.192.0,172.84.255.255,18,255.255.192.0,16384
192.65.170.0/24,192.65.170.0,192.65.170.255,24,255.255.255.0,256
192.81.72.0/23,192.81.72.0,192.81.73.255,23,255.255.254.0,512
192.102.82.0/24,192.102.82.0,192.102.82.255,24,255.255.255.0,256
198.36.28.0/22,198.36.28.0,198.36.31.255,22,255.255.252.0,1024
204.8.64.0/22,204.8.64.0,204.8.67.255,22,255.255.252.0,1024
204.11.152.0/21,204.11.152.0,204.11.159.255,21,255.255.248.0,2048
208.84.192.0/21,208.84.192.0,208.84.199.255,21,255.255.248.0,2048
