# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
103.7.197.0/24,103.7.197.0,103.7.197.255,24,255.255.255.0,256
103.16.15.0/24,103.16.15.0,103.16.15.255,24,255.255.255.0,256
103.20.232.0/23,103.20.232.0,103.20.233.255,23,255.255.254.0,512
103.25.228.0/23,103.25.228.0,103.25.229.255,23,255.255.254.0,512
103.36.144.0/22,103.36.144.0,103.36.147.255,22,255.255.252.0,1024
103.65.141.0/24,103.65.141.0,103.65.141.255,24,255.255.255.0,256
103.72.90.0/23,103.72.90.0,103.72.91.255,23,255.255.254.0,512
103.75.20.0/23,103.75.20.0,103.75.21.255,23,255.255.254.0,512
103.100.10.0/24,103.100.10.0,103.100.10.255,24,255.255.255.0,256
103.101.192.0/24,103.101.192.0,103.101.192.255,24,255.255.255.0,256
103.125.232.0/22,103.125.232.0,103.125.235.255,22,255.255.252.0,1024
103.226.22.0/23,103.226.22.0,103.226.23.255,23,255.255.254.0,512
113.11.240.0/21,113.11.240.0,113.11.247.255,21,255.255.248.0,2048
160.187.44.0/23,160.187.44.0,160.187.45.255,23,255.255.254.0,512
180.222.208.0/22,180.222.208.0,180.222.211.255,22,255.255.252.0,1024
194.127.164.0/22,194.127.164.0,194.127.167.255,22,255.255.252.0,1024
202.4.251.0/24,202.4.251.0,202.4.251.255,24,255.255.255.0,256
202.61.106.0/23,202.61.106.0,202.61.107.255,23,255.255.254.0,512
202.80.32.0/20,202.80.32.0,202.80.47.255,20,255.255.240.0,4096
203.191.128.0/22,203.191.128.0,203.191.131.255,22,255.255.252.0,1024
