# CIDR,network(start) address,end address,prefix,subnet mask
43.241.164.0/22,43.241.164.0,43.241.167.255,22,255.255.252.0
103.9.228.0/22,103.9.228.0,103.9.231.255,22,255.255.252.0
103.55.178.0/24,103.55.178.0,103.55.178.255,24,255.255.255.0
103.63.27.0/24,103.63.27.0,103.63.27.255,24,255.255.255.0
103.131.62.0/23,103.131.62.0,103.131.63.255,23,255.255.254.0
103.143.149.0/24,103.143.149.0,103.143.149.255,24,255.255.255.0
103.154.194.0/23,103.154.194.0,103.154.195.255,23,255.255.254.0
103.154.200.0/23,103.154.200.0,103.154.201.255,23,255.255.254.0
110.5.112.0/22,110.5.112.0,110.5.115.255,22,255.255.252.0
123.176.72.0/21,123.176.72.0,123.176.79.255,21,255.255.248.0
182.50.72.0/22,182.50.72.0,182.50.75.255,22,255.255.252.0
182.50.168.0/22,182.50.168.0,182.50.171.255,22,255.255.252.0
202.4.32.0/19,202.4.32.0,202.4.63.255,19,255.255.224.0
202.87.208.0/22,202.87.208.0,202.87.211.255,22,255.255.252.0
203.99.156.0/22,203.99.156.0,203.99.159.255,22,255.255.252.0
203.99.255.0/24,203.99.255.0,203.99.255.255,24,255.255.255.0
