# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.100.160.0/21,5.100.160.0,5.100.167.255,21,255.255.248.0,2048
5.255.0.0/19,5.255.0.0,5.255.31.255,19,255.255.224.0,8192
31.31.176.0/20,31.31.176.0,31.31.191.255,20,255.255.240.0,4096
46.35.64.0/19,46.35.64.0,46.35.95.255,19,255.255.224.0,8192
46.161.224.0/19,46.161.224.0,46.161.255.255,19,255.255.224.0,8192
78.137.64.0/19,78.137.64.0,78.137.95.255,19,255.255.224.0,8192
80.253.176.0/20,80.253.176.0,80.253.191.255,20,255.255.240.0,4096
81.91.24.0/21,81.91.24.0,81.91.31.255,21,255.255.248.0,2048
82.114.160.0/19,82.114.160.0,82.114.191.255,19,255.255.224.0,8192
89.189.64.0/19,89.189.64.0,89.189.95.255,19,255.255.224.0,8192
94.26.192.0/19,94.26.192.0,94.26.223.255,19,255.255.224.0,8192
109.74.32.0/20,109.74.32.0,109.74.47.255,20,255.255.240.0,4096
109.200.160.0/19,109.200.160.0,109.200.191.255,19,255.255.224.0,8192
110.238.32.0/19,110.238.32.0,110.238.63.255,19,255.255.224.0,8192
131.117.160.0/21,131.117.160.0,131.117.167.255,21,255.255.248.0,2048
134.35.0.0/16,134.35.0.0,134.35.255.255,16,255.255.0.0,65536
175.110.0.0/18,175.110.0.0,175.110.63.255,18,255.255.192.0,16384
176.123.16.0/20,176.123.16.0,176.123.31.255,20,255.255.240.0,4096
178.130.64.0/18,178.130.64.0,178.130.127.255,18,255.255.192.0,16384
185.11.8.0/22,185.11.8.0,185.11.11.255,22,255.255.252.0,1024
185.71.132.0/22,185.71.132.0,185.71.135.255,22,255.255.252.0,1024
185.80.44.0/22,185.80.44.0,185.80.47.255,22,255.255.252.0,1024
185.80.140.0/22,185.80.140.0,185.80.143.255,22,255.255.252.0,1024
185.112.200.0/22,185.112.200.0,185.112.203.255,22,255.255.252.0,1024
185.240.64.0/22,185.240.64.0,185.240.67.255,22,255.255.252.0,1024
188.209.224.0/19,188.209.224.0,188.209.255.255,19,255.255.224.0,8192
188.240.96.0/19,188.240.96.0,188.240.127.255,19,255.255.224.0,8192
195.94.0.0/19,195.94.0.0,195.94.31.255,19,255.255.224.0,8192
213.246.0.0/19,213.246.0.0,213.246.31.255,19,255.255.224.0,8192
