# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.59.96.0/22,2.59.96.0,2.59.99.255,22,255.255.252.0,1024
41.0.0.0/11,41.0.0.0,41.31.255.255,11,255.224.0.0,2097152
41.48.0.0/13,41.48.0.0,41.55.255.255,13,255.248.0.0,524288
41.56.0.0/16,41.56.0.0,41.56.255.255,16,255.255.0.0,65536
41.57.0.0/18,41.57.0.0,41.57.63.255,18,255.255.192.0,16384
41.57.128.0/18,41.57.128.0,41.57.191.255,18,255.255.192.0,16384
41.61.0.0/16,41.61.0.0,41.61.255.255,16,255.255.0.0,65536
41.63.64.0/18,41.63.64.0,41.63.127.255,18,255.255.192.0,16384
41.66.64.0/18,41.66.64.0,41.66.127.255,18,255.255.192.0,16384
41.66.128.0/18,41.66.128.0,41.66.191.255,18,255.255.192.0,16384
41.71.0.0/17,41.71.0.0,41.71.127.255,17,255.255.128.0,32768
41.72.128.0/19,41.72.128.0,41.72.159.255,19,255.255.224.0,8192
41.73.32.0/19,41.73.32.0,41.73.63.255,19,255.255.224.0,8192
41.74.144.0/20,41.74.144.0,41.74.159.255,20,255.255.240.0,4096
41.74.176.0/20,41.74.176.0,41.74.191.255,20,255.255.240.0,4096
41.74.192.0/20,41.74.192.0,41.74.207.255,20,255.255.240.0,4096
41.75.96.0/20,41.75.96.0,41.75.111.255,20,255.255.240.0,4096
41.75.128.0/20,41.75.128.0,41.75.143.255,20,255.255.240.0,4096
41.76.32.0/21,41.76.32.0,41.76.39.255,21,255.255.248.0,2048
41.76.56.0/21,41.76.56.0,41.76.63.255,21,255.255.248.0,2048
41.76.96.0/20,41.76.96.0,41.76.111.255,20,255.255.240.0,4096
41.76.112.0/21,41.76.112.0,41.76.119.255,21,255.255.248.0,2048
41.76.128.0/21,41.76.128.0,41.76.135.255,21,255.255.248.0,2048
41.76.176.0/21,41.76.176.0,41.76.183.255,21,255.255.248.0,2048
41.76.200.0/21,41.76.200.0,41.76.207.255,21,255.255.248.0,2048
41.76.208.0/20,41.76.208.0,41.76.223.255,20,255.255.240.0,4096
41.76.224.0/21,41.76.224.0,41.76.231.255,21,255.255.248.0,2048
41.77.24.0/21,41.77.24.0,41.77.31.255,21,255.255.248.0,2048
41.77.48.0/20,41.77.48.0,41.77.63.255,20,255.255.240.0,4096
41.77.96.0/20,41.77.96.0,41.77.111.255,20,255.255.240.0,4096
41.77.152.0/21,41.77.152.0,41.77.159.255,21,255.255.248.0,2048
41.77.200.0/21,41.77.200.0,41.77.207.255,21,255.255.248.0,2048
41.78.4.0/22,41.78.4.0,41.78.7.255,22,255.255.252.0,1024
41.78.28.0/22,41.78.28.0,41.78.31.255,22,255.255.252.0,1024
41.78.36.0/22,41.78.36.0,41.78.39.255,22,255.255.252.0,1024
41.78.128.0/22,41.78.128.0,41.78.131.255,22,255.255.252.0,1024
41.78.140.0/22,41.78.140.0,41.78.143.255,22,255.255.252.0,1024
41.78.184.0/21,41.78.184.0,41.78.191.255,21,255.255.248.0,2048
41.78.200.0/22,41.78.200.0,41.78.203.255,22,255.255.252.0,1024
41.78.212.0/22,41.78.212.0,41.78.215.255,22,255.255.252.0,1024
41.78.220.0/22,41.78.220.0,41.78.223.255,22,255.255.252.0,1024
41.78.228.0/22,41.78.228.0,41.78.231.255,22,255.255.252.0,1024
41.78.232.0/22,41.78.232.0,41.78.235.255,22,255.255.252.0,1024
41.78.244.0/22,41.78.244.0,41.78.247.255,22,255.255.252.0,1024
41.79.16.0/21,41.79.16.0,41.79.23.255,21,255.255.248.0,2048
41.79.36.0/22,41.79.36.0,41.79.39.255,22,255.255.252.0,1024
41.79.72.0/21,41.79.72.0,41.79.79.255,21,255.255.248.0,2048
41.79.80.0/22,41.79.80.0,41.79.83.255,22,255.255.252.0,1024
41.79.92.0/22,41.79.92.0,41.79.95.255,22,255.255.252.0,1024
41.79.104.0/21,41.79.104.0,41.79.111.255,21,255.255.248.0,2048
41.79.148.0/22,41.79.148.0,41.79.151.255,22,255.255.252.0,1024
41.79.156.0/22,41.79.156.0,41.79.159.255,22,255.255.252.0,1024
41.79.160.0/22,41.79.160.0,41.79.163.255,22,255.255.252.0,1024
41.79.172.0/22,41.79.172.0,41.79.175.255,22,255.255.252.0,1024
41.79.180.0/22,41.79.180.0,41.79.183.255,22,255.255.252.0,1024
41.79.192.0/22,41.79.192.0,41.79.195.255,22,255.255.252.0,1024
41.79.212.0/22,41.79.212.0,41.79.215.255,22,255.255.252.0,1024
41.79.220.0/22,41.79.220.0,41.79.223.255,22,255.255.252.0,1024
41.79.240.0/22,41.79.240.0,41.79.243.255,22,255.255.252.0,1024
41.84.0.0/17,41.84.0.0,41.84.127.255,17,255.255.128.0,32768
41.85.0.0/17,41.85.0.0,41.85.127.255,17,255.255.128.0,32768
41.85.128.0/19,41.85.128.0,41.85.159.255,19,255.255.224.0,8192
41.85.224.0/19,41.85.224.0,41.85.255.255,19,255.255.224.0,8192
41.86.96.0/19,41.86.96.0,41.86.127.255,19,255.255.224.0,8192
41.86.192.0/19,41.86.192.0,41.86.223.255,19,255.255.224.0,8192
41.87.192.0/18,41.87.192.0,41.87.255.255,18,255.255.192.0,16384
41.112.0.0/12,41.112.0.0,41.127.255.255,12,255.240.0.0,1048576
41.132.0.0/14,41.132.0.0,41.135.255.255,14,255.252.0.0,262144
41.138.64.0/21,41.138.64.0,41.138.71.255,21,255.255.248.0,2048
41.138.92.0/22,41.138.92.0,41.138.95.255,22,255.255.252.0,1024
41.144.0.0/13,41.144.0.0,41.151.255.255,13,255.248.0.0,524288
41.156.0.0/15,41.156.0.0,41.157.255.255,15,255.254.0.0,131072
41.177.0.0/16,41.177.0.0,41.177.255.255,16,255.255.0.0,65536
41.180.0.0/15,41.180.0.0,41.181.255.255,15,255.254.0.0,131072
41.183.0.0/16,41.183.0.0,41.183.255.255,16,255.255.0.0,65536
41.185.0.0/16,41.185.0.0,41.185.255.255,16,255.255.0.0,65536
41.188.192.0/18,41.188.192.0,41.188.255.255,18,255.255.192.0,16384
41.189.64.0/19,41.189.64.0,41.189.95.255,19,255.255.224.0,8192
41.191.88.0/22,41.191.88.0,41.191.91.255,22,255.255.252.0,1024
