# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.60.0.0/16,41.60.0.0,41.60.255.255,16,255.255.0.0,65536
41.63.0.0/18,41.63.0.0,41.63.63.255,18,255.255.192.0,16384
41.72.96.0/19,41.72.96.0,41.72.127.255,19,255.255.224.0,8192
41.77.0.0/21,41.77.0.0,41.77.7.255,21,255.255.248.0,2048
41.191.116.0/22,41.191.116.0,41.191.119.255,22,255.255.252.0,1024
41.215.176.0/20,41.215.176.0,41.215.191.255,20,255.255.240.0,4096
41.216.64.0/19,41.216.64.0,41.216.95.255,19,255.255.224.0,8192
41.222.16.0/21,41.222.16.0,41.222.23.255,21,255.255.248.0,2048
41.223.116.0/22,41.223.116.0,41.223.119.255,22,255.255.252.0,1024
45.212.0.0/14,45.212.0.0,45.215.255.255,14,255.252.0.0,262144
80.88.3.0/24,80.88.3.0,80.88.3.255,24,255.255.255.0,256
102.23.120.0/22,102.23.120.0,102.23.123.255,22,255.255.252.0,1024
102.67.160.0/22,102.67.160.0,102.67.163.255,22,255.255.252.0,1024
102.68.136.0/22,102.68.136.0,102.68.139.255,22,255.255.252.0,1024
102.130.100.0/24,102.130.100.0,102.130.100.255,24,255.255.255.0,256
102.144.0.0/13,102.144.0.0,102.151.255.255,13,255.248.0.0,524288
102.210.160.0/22,102.210.160.0,102.210.163.255,22,255.255.252.0,1024
102.212.180.0/22,102.212.180.0,102.212.183.255,22,255.255.252.0,1024
102.216.214.0/23,102.216.214.0,102.216.215.255,23,255.255.254.0,512
102.220.158.0/23,102.220.158.0,102.220.159.255,23,255.255.254.0,512
102.221.240.0/22,102.221.240.0,102.221.243.255,22,255.255.252.0,1024
154.73.232.0/22,154.73.232.0,154.73.235.255,22,255.255.252.0,1024
155.0.0.0/16,155.0.0.0,155.0.255.255,16,255.255.0.0,65536
165.56.0.0/13,165.56.0.0,165.63.255.255,13,255.248.0.0,524288
196.12.12.0/22,196.12.12.0,196.12.15.255,22,255.255.252.0,1024
196.13.104.0/24,196.13.104.0,196.13.104.255,24,255.255.255.0,256
196.46.124.0/22,196.46.124.0,196.46.127.255,22,255.255.252.0,1024
196.46.192.0/19,196.46.192.0,196.46.223.255,19,255.255.224.0,8192
196.49.88.0/24,196.49.88.0,196.49.88.255,24,255.255.255.0,256
196.60.94.0/24,196.60.94.0,196.60.94.255,24,255.255.255.0,256
196.223.2.0/24,196.223.2.0,196.223.2.255,24,255.255.255.0,256
196.223.29.0/24,196.223.29.0,196.223.29.255,24,255.255.255.0,256
197.212.0.0/15,197.212.0.0,197.213.255.255,15,255.254.0.0,131072
197.220.0.0/19,197.220.0.0,197.220.31.255,19,255.255.224.0,8192
197.231.244.0/22,197.231.244.0,197.231.247.255,22,255.255.252.0,1024
