# CIDR,network(start) address,end address,prefix,subnet mask
41.57.64.0/20,41.57.64.0,41.57.79.255,20,255.255.240.0
41.78.76.0/22,41.78.76.0,41.78.79.255,22,255.255.252.0
41.79.28.0/22,41.79.28.0,41.79.31.255,22,255.255.252.0
41.79.56.0/22,41.79.56.0,41.79.59.255,22,255.255.252.0
41.79.188.0/22,41.79.188.0,41.79.191.255,22,255.255.252.0
41.85.192.0/19,41.85.192.0,41.85.223.255,19,255.255.224.0
41.190.32.0/19,41.190.32.0,41.190.63.255,19,255.255.224.0
41.191.232.0/21,41.191.232.0,41.191.239.255,21,255.255.248.0
41.220.16.0/20,41.220.16.0,41.220.31.255,20,255.255.240.0
41.221.144.0/20,41.221.144.0,41.221.159.255,20,255.255.240.0
102.128.76.0/22,102.128.76.0,102.128.79.255,22,255.255.252.0
102.165.112.0/22,102.165.112.0,102.165.115.255,22,255.255.252.0
102.177.72.0/22,102.177.72.0,102.177.75.255,22,255.255.252.0
102.177.192.0/21,102.177.192.0,102.177.199.255,21,255.255.248.0
102.212.231.0/24,102.212.231.0,102.212.231.255,24,255.255.255.0
102.213.40.0/22,102.213.40.0,102.213.43.255,22,255.255.252.0
102.215.144.0/22,102.215.144.0,102.215.147.255,22,255.255.252.0
102.217.48.0/22,102.217.48.0,102.217.51.255,22,255.255.252.0
102.218.12.0/22,102.218.12.0,102.218.15.255,22,255.255.252.0
154.73.80.0/22,154.73.80.0,154.73.83.255,22,255.255.252.0
154.119.80.0/20,154.119.80.0,154.119.95.255,20,255.255.240.0
168.253.32.0/19,168.253.32.0,168.253.63.255,19,255.255.224.0
169.239.24.0/22,169.239.24.0,169.239.27.255,22,255.255.252.0
196.4.80.0/24,196.4.80.0,196.4.80.255,24,255.255.255.0
196.27.96.0/19,196.27.96.0,196.27.127.255,19,255.255.224.0
196.29.32.0/21,196.29.32.0,196.29.39.255,21,255.255.248.0
196.41.88.0/24,196.41.88.0,196.41.88.255,24,255.255.255.0
196.43.96.0/19,196.43.96.0,196.43.127.255,19,255.255.224.0
196.43.199.0/24,196.43.199.0,196.43.199.255,24,255.255.255.0
196.44.176.0/20,196.44.176.0,196.44.191.255,20,255.255.240.0
196.49.46.0/24,196.49.46.0,196.49.46.255,24,255.255.255.0
196.60.44.0/24,196.60.44.0,196.60.44.255,24,255.255.255.0
196.201.1.0/24,196.201.1.0,196.201.1.255,24,255.255.255.0
196.216.224.0/23,196.216.224.0,196.216.225.255,23,255.255.254.0
196.220.96.0/19,196.220.96.0,196.220.127.255,19,255.255.224.0
197.157.204.0/22,197.157.204.0,197.157.207.255,22,255.255.252.0
197.221.224.0/19,197.221.224.0,197.221.255.255,19,255.255.224.0
